qid,qid_label,group,property_pid,property_label,statement_index,rank,value_qid,value_label,value_literal,periodo_ids
Q1054850,Bactria–Margiana Archaeological Complex,hierarchy,P31,instance of,0,normal,Q8432,civilization,,8m57hq9gh
Q1054850,Bactria–Margiana Archaeological Complex,hierarchy,P361,part of,0,normal,Q11761,Bronze Age,,8m57hq9gh
Q1054850,Bactria–Margiana Archaeological Complex,temporal,P580,start time,0,normal,,time=-2200-01-01T00:00:00Z;precision=9,time=-2200-01-01T00:00:00Z;precision=9,8m57hq9gh
Q1054850,Bactria–Margiana Archaeological Complex,temporal,P582,end time,0,normal,,time=-1700-01-01T00:00:00Z;precision=9,time=-1700-01-01T00:00:00Z;precision=9,8m57hq9gh
Q1054850,Bactria–Margiana Archaeological Complex,geographical,P17,country,0,normal,Q265,Uzbekistan,,8m57hq9gh
Q1054850,Bactria–Margiana Archaeological Complex,geographical,P625,coordinate location,0,normal,,"{'latitude': 37.30111111111111, 'longitude': 64.15530555555556, 'altitude': None, 'precision': 2.777777777777778e-05, 'globe': 'http://www.wikidata.org/entity/Q2'}","{'latitude': 37.30111111111111, 'longitude': 64.15530555555556, 'altitude': None, 'precision': 2.777777777777778e-05, 'globe': 'http://www.wikidata.org/entity/Q2'}",8m57hq9gh
Q1054850,Bactria–Margiana Archaeological Complex,geographical,P276,location,0,normal,Q172702,Karakum Desert,,8m57hq9gh
Q1054850,Bactria–Margiana Archaeological Complex,geographical,P276,location,1,normal,Q874,Turkmenistan,,8m57hq9gh
Q1054850,Bactria–Margiana Archaeological Complex,geographical,P276,location,2,normal,Q889,Afghanistan,,8m57hq9gh
Q1054850,Bactria–Margiana Archaeological Complex,geographical,P131,located in the administrative territorial entity,0,normal,Q399899,Ahal Region,,8m57hq9gh
Q1054850,Bactria–Margiana Archaeological Complex,temporal,P9350,PeriodO period ID,0,normal,,8m57hq9gh,8m57hq9gh,8m57hq9gh
Q1076902,Chremonidean War,hierarchy,P31,instance of,0,normal,Q198,war,,6c6g382rh
Q1076902,Chremonidean War,temporal,P582,end time,0,normal,,time=-0261-00-00T00:00:00Z;precision=9,time=-0261-00-00T00:00:00Z;precision=9,6c6g382rh
