semantic_signal,canonical_relationship_type,object_qid_label,edge_count,distinct_subject_count
P279,BROADER_THAN,Q11764 | Iron Age,1,1
P279,BROADER_THAN,Q125510349 | Roman period,1,1
P279,BROADER_THAN,Q1516910 | plague epidemic,1,1
P279,BROADER_THAN,Q2198855 | cultural movement,1,1
P279,BROADER_THAN,Q2394404 | Bronze Age Europe,1,1
P279,BROADER_THAN,Q41493 | ancient history,1,1
P279,BROADER_THAN,Q6993183 | Neolithic British Isles,1,1
P361,SUB_PERIOD_OF,Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale,7,7
P361,SUB_PERIOD_OF,Q284787 | Early Jurassic,4,4
P361,SUB_PERIOD_OF,"Q1939641 | Mithraeum, Dura-Europos",3,3
P361,SUB_PERIOD_OF,Q109386511 | Early Dynastic III,2,2
P361,SUB_PERIOD_OF,Q128904 | Elam,2,2
P361,SUB_PERIOD_OF,Q130436 | history of Japan,2,2
P361,SUB_PERIOD_OF,Q35355 | Sumer,2,2
P361,SUB_PERIOD_OF,Q500054 | Middle Jurassic,2,2
P361,SUB_PERIOD_OF,Q11285118 | history of the Southern United States,1,1
P361,SUB_PERIOD_OF,Q1146918 | decolonisation of Africa,1,1
P361,SUB_PERIOD_OF,Q11761 | Bronze Age,1,1
P361,SUB_PERIOD_OF,Q12546 | Crusades,1,1
P361,SUB_PERIOD_OF,Q12562 | Protestant Reformation,1,1
P361,SUB_PERIOD_OF,Q1379246 | history of the British Isles,1,1
P361,SUB_PERIOD_OF,Q15112333 | Rebellions during the Regency Period in Brazil,1,1
P361,SUB_PERIOD_OF,Q16918333 | 2013–2014 Ukrainian political crisis,1,1
P361,SUB_PERIOD_OF,Q1765465 | Middle Eastern Theater of World War I,1,1
P361,SUB_PERIOD_OF,Q207318 | French Revolutionary Wars,1,1
P361,SUB_PERIOD_OF,Q28926 | history of Iran,1,1
P361,SUB_PERIOD_OF,Q3108868 | Atlantic Revolutions,1,1
P361,SUB_PERIOD_OF,Q3202164 | Latin American wars of independence,1,1
P361,SUB_PERIOD_OF,Q334845 | Muromachi period,1,1
P361,SUB_PERIOD_OF,Q41493 | ancient history,1,1
P361,SUB_PERIOD_OF,Q718462 | Winter Line,1,1
P361,SUB_PERIOD_OF,Q752187 | Early Cretaceous,1,1
P361,SUB_PERIOD_OF,Q83311 | Persian Empire,1,1
P361,SUB_PERIOD_OF,Q8683 | Cold War,1,1
