object_qid_label,edge_count,distinct_subject_count
Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale,7,7
Q284787 | Early Jurassic,4,4
"Q1939641 | Mithraeum, Dura-Europos",3,3
Q109386511 | Early Dynastic III,2,2
Q128904 | Elam,2,2
Q130436 | history of Japan,2,2
Q35355 | Sumer,2,2
Q500054 | Middle Jurassic,2,2
Q11285118 | history of the Southern United States,1,1
Q1146918 | decolonisation of Africa,1,1
Q11761 | Bronze Age,1,1
Q12546 | Crusades,1,1
Q12562 | Protestant Reformation,1,1
Q1379246 | history of the British Isles,1,1
Q15112333 | Rebellions during the Regency Period in Brazil,1,1
Q16918333 | 2013–2014 Ukrainian political crisis,1,1
Q1765465 | Middle Eastern Theater of World War I,1,1
Q207318 | French Revolutionary Wars,1,1
Q28926 | history of Iran,1,1
Q3108868 | Atlantic Revolutions,1,1
Q3202164 | Latin American wars of independence,1,1
Q334845 | Muromachi period,1,1
Q41493 | ancient history,1,1
Q718462 | Winter Line,1,1
Q752187 | Early Cretaceous,1,1
Q83311 | Persian Empire,1,1
Q8683 | Cold War,1,1
