qid,label,periodo_id,p31_instance_of,p279_subclass_of,p361_part_of
Q1054850,Bactria–Margiana Archaeological Complex,8m57hq9gh,Q8432 | civilization,,Q11761 | Bronze Age
Q1076902,Chremonidean War,6c6g382rh,Q198 | war,,
Q109384761,Ur III period,7ffbfhfkn,Q465299 | archaeological culture || Q11514315 | historical period,,
Q110209550,Early Dynastic IIIa,7ffbfx3sh,Q465299 | archaeological culture || Q15401633 | archaeological period || Q11514315 | historical period,,Q109386511 | Early Dynastic III
Q110209565,Early Dynastic IIIb,7ffbfjtm2,Q465299 | archaeological culture || Q15401633 | archaeological period || Q11514315 | historical period,,Q109386511 | Early Dynastic III
Q1135852,Guangxu Era,8m57hg5gw,Q845538 | Chinese era name,,
Q117326694,"Ṣafavid dynasty, 1501-1736",6c6g35q9w,Q11514315 | historical period,,Q28926 | history of Iran || Q83311 | Persian Empire
Q1196237,Proto-Elamite period,7ffbfn97j,Q11514315 | historical period || Q15401633 | archaeological period,,Q35355 | Sumer
Q123437424,Mithraeum I,mx5nbjmkh,Q15401633 | archaeological period || Q4785465 | archaeological phase || Q1151014 | mithraeum,,"Q1939641 | Mithraeum, Dura-Europos"
Q123909218,Middle Mithraeum,pkpgk57tt,Q15401633 | archaeological period || Q4785465 | archaeological phase || Q1151014 | mithraeum || Q839954 | archaeological site,,"Q1939641 | Mithraeum, Dura-Europos"
Q123911600,Late Mithraeum,pkpgkwxn7,Q15401633 | archaeological period || Q4785465 | archaeological phase,,"Q1939641 | Mithraeum, Dura-Europos"
Q12554,Middle Ages,vn2frpf43,Q17522177 | age || Q11514315 | historical period,Q2198855 | cultural movement,
Q127751,Wars of the Roses,6c6g3crgz,Q198 | war || Q8465 | civil war,,
Q131987978,Romano-British period,kh9ds9nsj,Q816829 | periodization,Q125510349 | Roman period,
Q1325419,Genji,8m57h7cc2,Q24706 | Japanese era name,,
Q133610270,British Neolithic,kh9dshs59,Q816829 | periodization,Q6993183 | Neolithic British Isles,
Q15224558,Euromaidan,6c6g3bc6j,Q686984 | civil disorder || Q175331 | demonstration || Q273120 | protest || Q45382 | coup d'état,,Q16918333 | 2013–2014 Ukrainian political crisis
Q182688,Victorian era,kh9dsxp46,Q11514315 | historical period || Q186408 | point in time,,
Q204023,Sengoku period,6c6g3cq26,Q11514315 | historical period,,Q334845 | Muromachi period || Q130436 | history of Japan
Q208297,Irish War of Independence,6c6g3xtnj,Q1006311 | war of national liberation || Q21994376 | war of independence,,
Q209297,Farroupilha Revolution,6c6g3bpt7,Q8465 | civil war,,Q15112333 | Rebellions during the Regency Period in Brazil
Q239060,Arab Revolt,6c6g32wkw,Q124734 | rebellion || Q6107280 | revolt,,Q1765465 | Middle Eastern Theater of World War I
Q277399,British Iron Age,kh9dsj33x,Q816829 | periodization,Q11764 | Iron Age,
Q29297050,Neo-Elamite period,7ffbfx45f,Q11514315 | historical period || Q15401633 | archaeological period,,Q35355 | Sumer || Q128904 | Elam
Q29297151,Middle Elamite period,7ffbfknpj,Q11514315 | historical period,,Q128904 | Elam
Q300887,Aalenian,9qtgw2x4f,Q1123245 | stage || Q568683 | age,,Q500054 | Middle Jurassic || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale
Q301728,Albian,9qtgw7bg4,Q1123245 | stage || Q568683 | age,,Q752187 | Early Cretaceous || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale
Q3125096,Meiji period,8m57hsw5p,Q24706 | Japanese era name || Q7310094 | reign || Q11514315 | historical period,,Q130436 | history of Japan
Q3641960,Bombing of Rome in World War II,6c6g3pmfn,Q841418 | strategic bombing,,Q718462 | Winter Line
Q4096987,British Bronze Age,kh9ds7q8m,Q816829 | periodization,Q2394404 | Bronze Age Europe,Q1379246 | history of the British Isles
Q419594,Akkad period,7ffbf6hdp,Q11514315 | historical period || Q465299 | archaeological culture || Q11042 | culture || Q1292119 | style,,
Q42005,Black Death,pgmrbmd5t,Q3241045 | disease outbreak || Q12184 | pandemic,Q1516910 | plague epidemic,
Q476855,Mau Mau Uprising,06c6g3nkk,Q1323212 | insurgency,,Q1146918 | decolonisation of Africa
Q478301,Hussite Wars,6c6g3vnns,Q1827102 | religious war,,Q12546 | Crusades
Q486761,classical antiquity,8m57hmxmp,Q11514315 | historical period || Q1292119 | style,Q41493 | ancient history,Q41493 | ancient history
Q540479,Pliensbachian,9qtgw3hf7,Q1123245 | stage || Q568683 | age,,Q284787 | Early Jurassic || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale
Q623429,Reconstruction Era,6c6g3m8jh,Q186081 | time interval || Q188686 | military occupation,,Q11285118 | history of the Southern United States
Q633834,Hettangian,9qtgwrf75,Q1123245 | stage || Q568683 | age,,Q284787 | Early Jurassic || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale
Q638530,Texas Revolution,6c6g3fdwd,Q3119121 | revolutionary war,,
Q677316,Social War of 91-87 BCE,6c6g3rjxq,Q198 | war,,
