qid,label,periodo_id,p31_instance_of,p279_subclass_of,p361_part_of
Q110209550,Early Dynastic IIIa,7ffbfx3sh,Q465299 | archaeological culture || Q15401633 | archaeological period || Q11514315 | historical period,,Q109386511 | Early Dynastic III
Q110209565,Early Dynastic IIIb,7ffbfjtm2,Q465299 | archaeological culture || Q15401633 | archaeological period || Q11514315 | historical period,,Q109386511 | Early Dynastic III
Q1196237,Proto-Elamite period,7ffbfn97j,Q11514315 | historical period || Q15401633 | archaeological period,,Q35355 | Sumer
Q133610270,British Neolithic,kh9dshs59,Q816829 | periodization,Q6993183 | Neolithic British Isles,
Q300887,Aalenian,9qtgw2x4f,Q1123245 | stage || Q568683 | age,,Q500054 | Middle Jurassic || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale
Q301728,Albian,9qtgw7bg4,Q1123245 | stage || Q568683 | age,,Q752187 | Early Cretaceous || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale
Q419594,Akkad period,7ffbf6hdp,Q11514315 | historical period || Q465299 | archaeological culture || Q11042 | culture || Q1292119 | style,,
Q540479,Pliensbachian,9qtgw3hf7,Q1123245 | stage || Q568683 | age,,Q284787 | Early Jurassic || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale
Q633834,Hettangian,9qtgwrf75,Q1123245 | stage || Q568683 | age,,Q284787 | Early Jurassic || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale
Q791313,Bathonian,9qtgwcdrv,Q1123245 | stage || Q568683 | age,,Q500054 | Middle Jurassic || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale
Q911869,Sinemurian,9qtgwgbxh,Q1123245 | stage || Q568683 | age,,Q284787 | Early Jurassic || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale
Q914363,Toarcian,9qtgww5hb,Q1123245 | stage || Q568683 | age,,Q284787 | Early Jurassic || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale
