qid,label,periodo_id,start,end
Q94080,Time of Troubles,6c6g383b7,1598-01-01T00:00:00Z,1613-01-01T00:00:00Z
Q707364,Count's Feud,6c6g339fj,1534-01-01T00:00:00Z,1536-01-01T00:00:00Z
Q776775,Keiō,8m57hk9w6,1865-05-01T00:00:00Z,1868-10-22T00:00:00Z
Q791313,Bathonian,9qtgwcdrv,-168300000-01-01T00:00:00Z,-166100000-01-01T00:00:00Z
Q843329,Valanginian,9qtgwdxkh,-139800000-01-01T00:00:00Z,-132900000-01-01T00:00:00Z
Q911869,Sinemurian,9qtgwgbxh,-199300000-01-01T00:00:00Z,-190800000-01-01T00:00:00Z
Q914363,Toarcian,9qtgww5hb,-182700000-01-01T00:00:00Z,-174100000-01-01T00:00:00Z
Q917293,Late Triassic,9qtgw6h9p,-237000000-01-01T00:00:00Z,-201300000-01-01T00:00:00Z
Q952881,Second French intervention in Mexico,6c6g34nfc,1861-12-08T00:00:00Z,1867-06-21T00:00:00Z
Q7403398,Saladin in Egypt,6c6g37thw,1171-01-01T00:00:00Z,1193-01-01T00:00:00Z
Q8663,Korean War,6c6g3gspp,1950-06-25T00:00:00Z,1953-07-27T00:00:00Z
Q8690,Cultural Revolution,6c6g3bsbt,1966-05-16T00:00:00Z,1976-10-06T00:00:00Z
Q12554,Middle Ages,8m57h8zmq,0476-01-01T00:00:00Z,1500-01-01T00:00:00Z
Q12554,Middle Ages,vn2frpf43,0476-01-01T00:00:00Z,1500-01-01T00:00:00Z
Q25546,Pleistocene,p086kj94tsm,-2580000-01-01T00:00:00Z,-9700-01-01T00:00:00Z
Q42005,Black Death,pgmrbmd5t,1346-01-01T00:00:00Z,1352-01-01T00:00:00Z
Q44626,Cretaceous,9qtgwjxcm,-145000000-01-01T00:00:00Z,-66000000-01-01T00:00:00Z
Q45805,Jurassic,9qtgwqzkr,-201400000-01-01T00:00:00Z,-145000000-01-01T00:00:00Z
Q127751,Wars of the Roses,6c6g3crgz,1455-05-22T00:00:00Z,1487-06-16T00:00:00Z
Q182688,Victorian era,kh9dsxp46,1837-01-01T00:00:00Z,1901-01-01T00:00:00Z
Q204023,Sengoku period,6c6g3cq26,1467-01-01T00:00:00Z,1590-01-01T00:00:00Z
Q208297,Irish War of Independence,6c6g3xtnj,1919-01-21T00:00:00Z,1921-07-11T00:00:00Z
Q209297,Farroupilha Revolution,6c6g3bpt7,1835-09-20T00:00:00Z,1845-03-01T00:00:00Z
Q239060,Arab Revolt,6c6g32wkw,1916-06-01T00:00:00Z,1918-10-01T00:00:00Z
Q277399,British Iron Age,kh9dsj33x,-0799-01-01T00:00:00Z,0043-01-01T00:00:00Z
Q284787,Early Jurassic,9qtgw32q7,-201300000-01-01T00:00:00Z,-174100000-01-01T00:00:00Z
Q300887,Aalenian,9qtgw2x4f,-174100000-01-01T00:00:00Z,-170300000-01-01T00:00:00Z
Q301728,Albian,9qtgw7bg4,-113000000-01-01T00:00:00Z,-100500000-01-01T00:00:00Z
Q338199,Late Cretaceous,9qtgwdffp,-100500000-01-01T00:00:00Z,-66000000-01-01T00:00:00Z
Q419594,Akkad period,7ffbf6hdp,-2349-01-01T00:00:00Z,-2199-01-01T00:00:00Z
Q428995,Hellenistic period,7ffbfhnns,-0322-01-01T00:00:00Z,-0099-01-01T00:00:00Z
Q428995,Hellenistic period,7ffbfhnns,-0322-01-01T00:00:00Z,-0029-01-01T00:00:00Z
Q476855,Mau Mau Uprising,06c6g3nkk,1952-01-01T00:00:00Z,1960-01-01T00:00:00Z
