qid,label,periodo_id,instance_of,subclass_of,part_of,has_parts
Q111656626,Q111656626,vn2frbvn2,Q15401633 | archaeological period,,Q1471923 | Early Bronze Age,
Q111656882,Q111656882,vn2frzrfs,Q15401633 | archaeological period,,Q1471923 | Early Bronze Age,
Q111657246,Q111657246,vn2fr68nx,Q15401633 | archaeological period,,Q1471923 | Early Bronze Age,
Q111657361,Q111657361,vn2frrx4q,Q15401633 | archaeological period,,Q1758757 | Late Bronze Age (Europe),
Q111657374,Q111657374,vn2frrq4x,Q15401633 | archaeological period,,Q1758757 | Late Bronze Age (Europe),
Q111657385,Q111657385,vn2frdpb3,Q15401633 | archaeological period,,Q1758757 | Late Bronze Age (Europe),
Q300887,Aalenian,9qtgw2x4f,Q568683 | age || Q1123245 | stage,,Q500054 | Middle Jurassic || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale,
Q114867307,Achaemenid Period,83p5r9rs7,Q11514315 | historical period,,,
Q419594,Akkad period,7ffbf6hdp,Q465299 | archaeological culture || Q11514315 | historical period || Q1292119 | style || Q11042 | culture,,,
Q301728,Albian,9qtgw7bg4,Q568683 | age || Q1123245 | stage,,Q752187 | Early Cretaceous || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale,
Q622265,Aptian,9qtgw8qq8,Q568683 | age || Q1123245 | stage,,Q752187 | Early Cretaceous || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale,
Q239060,Arab Revolt,6c6g32wkw,Q6107280 | revolt || Q124734 | rebellion,,Q1765465 | Middle Eastern Theater of World War I,
Q123438122,"Arsacid Period, Dura-Europos (Syria)",ns3tk6npz,Q15401633 | archaeological period,,,
Q1054850,Bactria–Margiana Archaeological Complex,8m57hq9gh,Q8432 | civilization,,Q11761 | Bronze Age,
Q791313,Bathonian,9qtgwcdrv,Q568683 | age || Q1123245 | stage,,Q500054 | Middle Jurassic || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale,
Q663355,Berriasian,9qtgwk2jt,Q568683 | age || Q1123245 | stage,,Q752187 | Early Cretaceous || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale,
Q42005,Black Death,pgmrbmd5t,Q3241045 | disease outbreak || Q12184 | pandemic,,,Q133780 | plague || Q217519 | bubonic plague
Q3641960,Bombing of Rome in World War II,6c6g3pmfn,Q841418 | strategic bombing,,Q718462 | Winter Line,
Q4096987,British Bronze Age,kh9ds7q8m,Q816829 | periodization,Q2394404 | Bronze Age Europe,Q1379246 | history of the British Isles,
Q277399,British Iron Age,kh9dsj33x,Q816829 | periodization,Q11764 | Iron Age,,
Q133610270,British Neolithic,kh9dshs59,Q816829 | periodization,Q6993183 | Neolithic British Isles,,
Q1076902,Chremonidean War,6c6g382rh,Q198 | war,,,
Q707364,Count's Feud,6c6g339fj,Q1348385 | war of succession,,Q12562 | Protestant Reformation,
Q44626,Cretaceous,9qtgwjxcm,Q403523 | system || Q392928 | period,,Q83222 | Mesozoic || Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale,Q338199 | Late Cretaceous || Q752187 | Early Cretaceous
Q8690,Cultural Revolution,6c6g3bsbt,Q119328980 | cultural revolution || Q5193493 | culture change || Q10931 | revolution,,,
Q752187,Early Cretaceous,9qtgwjphz,Q312468 | series || Q754897 | epoch,,Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale || Q44626 | Cretaceous,Q301728 | Albian || Q622265 | Aptian || Q663355 | Berriasian || Q843329 | Valanginian || Q732702 | Barremian || Q734179 | Hauterivian
Q110209550,Early Dynastic IIIa,7ffbfx3sh,Q465299 | archaeological culture || Q15401633 | archaeological period || Q11514315 | historical period,,Q109386511 | Early Dynastic III,
Q110209565,Early Dynastic IIIb,7ffbfjtm2,Q465299 | archaeological culture || Q15401633 | archaeological period || Q11514315 | historical period,,Q109386511 | Early Dynastic III,
Q284787,Early Jurassic,9qtgw32q7,Q312468 | series || Q754897 | epoch,,Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale || Q45805 | Jurassic,Q633834 | Hettangian || Q911869 | Sinemurian || Q914363 | Toarcian || Q540479 | Pliensbachian
Q123437228,Early Mithraeum,pkpgkvf9d,Q15401633 | archaeological period || Q4785465 | archaeological phase,,,
Q114867465,Early Old Babylonian Period,7ffbftf7p,Q11514315 | historical period,,,
Q114867907,Ebla Period,7ffbfh6rb,Q3448837 | middle chronology || Q11514315 | historical period,,,
Q731470,Eoarchean,9qtgwckcw,Q2464485 | erathem || Q630830 | era,,Q63463770 | ICS Standard Global Chronostratigraphic (Geochronologic) Scale || Q104168 | Archean,
Q15224558,Euromaidan,6c6g3bc6j,Q273120 | protest || Q175331 | demonstration || Q686984 | civil disorder || Q45382 | coup d'état,,Q16918333 | 2013–2014 Ukrainian political crisis,Q15733401 | Revolution of Dignity
Q209297,Farroupilha Revolution,6c6g3bpt7,Q8465 | civil war,,Q15112333 | Rebellions during the Regency Period in Brazil,
Q123915981,"Final Phase, Mithraeum",mx5nb7krq,Q15401633 | archaeological period || Q4785465 | archaeological phase,,"Q123910977 | Mithraeum II || Q1939641 | Mithraeum, Dura-Europos",
Q1325419,Genji,8m57h7cc2,Q24706 | Japanese era name,,,
Q1135852,Guangxu Era,8m57hg5gw,Q845538 | Chinese era name,,,
