seed_qid,seed_label,delta_qid,delta_label,backlink_hits
Q3952,Late Republic (periodization),Q101097862,Robert-Zahn-Weg,1
Q3952,Late Republic (periodization),Q101097864,Röntgenstraße,1
Q3952,Late Republic (periodization),Q101097866,Rosa-Luxemburg-Platz,1
Q3952,Late Republic (periodization),Q101097868,Rosengasse,1
Q3952,Late Republic (periodization),Q101097869,Rosengrabenstraße,1
Q3952,Late Republic (periodization),Q101097871,Rosenowweg,1
Q3952,Late Republic (periodization),Q101097872,Rosenweg,1
Q3952,Late Republic (periodization),Q101097874,Rotdornweg,1
Q3952,Late Republic (periodization),Q101097876,Rückertplatz,1
Q3952,Late Republic (periodization),Q101097878,Rückertstraße,1
Q3952,Late Republic (periodization),Q101097879,Rudolf-Bauer-Straße,1
Q3952,Late Republic (periodization),Q101097881,Rudolf-Friedrichs-Ring,1
Q3952,Late Republic (periodization),Q101097882,Schäfereiweg,1
Q3952,Late Republic (periodization),Q101097884,Schanzenblick,1
Q3952,Late Republic (periodization),Q101097886,Scharnhorststraße,1
Q3952,Late Republic (periodization),Q101097887,Scheffelstraße,1
Q3952,Late Republic (periodization),Q101097889,Schellingstraße,1
Q3952,Late Republic (periodization),Q101097891,Schenkendorfstraße,1
Q3952,Late Republic (periodization),Q101097893,Schießberg,1
Q3952,Late Republic (periodization),Q101097895,Schildstraße,1
Q3952,Late Republic (periodization),Q101097897,Schillerstraße,1
Q3952,Late Republic (periodization),Q101097898,Schlachthofstraße,1
Q3952,Late Republic (periodization),Q101097900,Schloditzer Straße,1
Q3952,Late Republic (periodization),Q101097902,Schloßacker,1
Q3952,Late Republic (periodization),Q101097903,Schloßberg,1
Q3952,Late Republic (periodization),Q101097905,Schloßstraße,1
Q3952,Late Republic (periodization),Q101097907,Schmidstraße,1
Q3952,Late Republic (periodization),Q101097908,Schminckestraße,1
Q3952,Late Republic (periodization),Q101097909,Scholtzestraße,1
Q3952,Late Republic (periodization),Q101097911,Schreberstraße,1
Q3952,Late Republic (periodization),Q101097912,Schrödelstraße,1
Q3952,Late Republic (periodization),Q101097914,Schubertstraße,1
Q3952,Late Republic (periodization),Q101097917,Schulberg,1
Q3952,Late Republic (periodization),Q101097919,Schulze-Delitzsch-Straße,1
Q3952,Late Republic (periodization),Q101097920,Schumannstraße,1
Q3952,Late Republic (periodization),Q101097922,Schurigstraße,1
Q3952,Late Republic (periodization),Q101097924,Seestraße,1
Q3952,Late Republic (periodization),Q101097925,Seminarstraße,1
Q3952,Late Republic (periodization),Q101097927,Semmelweisstraße,1
Q3952,Late Republic (periodization),Q101097928,Senefelderstraße,1
Q3952,Late Republic (periodization),Q101097930,Seumestraße,1
Q3952,Late Republic (periodization),Q101097931,Siedlerstraße,1
Q3952,Late Republic (periodization),Q101097933,Siedlung Oberlosa,1
Q3952,Late Republic (periodization),Q101097934,Siegener Straße,1
Q3952,Late Republic (periodization),Q101097936,Sorgaer Straße,1
Q3952,Late Republic (periodization),Q101097938,Sportplatz Thiergarten,1
Q3952,Late Republic (periodization),Q101097940,Stadtparkring,1
Q3952,Late Republic (periodization),Q101097942,Stauffenbergstraße,1
Q3952,Late Republic (periodization),Q101097944,Stegerstraße,1
Q3952,Late Republic (periodization),Q101097946,Sternplatz,1
Q3952,Late Republic (periodization),Q101097948,Stöckigter Straße,1
Q3952,Late Republic (periodization),Q101097949,Stollenweg,1
Q3952,Late Republic (periodization),Q101097951,Straßberger Grenzweg,1
Q3952,Late Republic (periodization),Q101097952,Straßberger Straße,1
Q3952,Late Republic (periodization),Q101097954,Straße der Deutschen Einheit,1
Q3952,Late Republic (periodization),Q101097955,Streitsberg,1
Q3952,Late Republic (periodization),Q101097957,Stresemannstraße,1
Q3952,Late Republic (periodization),Q101097959,Südstraße,1
Q3952,Late Republic (periodization),Q101097961,Syrastraße,1
Q3952,Late Republic (periodization),Q101097963,Taltitzer Straße,1
Q3952,Late Republic (periodization),Q101097965,Taltitzer Weg,1
Q3952,Late Republic (periodization),Q101097966,Tannenhof,1
Q3952,Late Republic (periodization),Q101097968,Tauschwitz,1
Q3952,Late Republic (periodization),Q101097971,Tauschwitzer Straße,1
Q3952,Late Republic (periodization),Q101097973,Teichgasse,1
