qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc,source,lcsh_label,lcc_label,aat_label,fast_label
Q229367,3D printing,Q1408286|Q360931|Q1408288|Q47728,production process|additive manufacturing|manufacturing process|hobby,,,,,,1032223197,sh2009006799,621.988|670.285,300391465,,,,,discipline,Three-dimensional printing,,3-D printing,
Q383968,African American studies,,,,,,,,,sh85001992,,,,,,,major,African Americans--Study and teaching,,,
Q386302,African art,,,,,,,,,sh85007528,709.6,,,,,,major,"Art, African",,,
Q386319,African literature,,,,,,,,,sh85001733,896,,,,,,major,African literature,,,
Q38157,African studies,,,,,,,,4122766-9,,,300389815,,,,,major,,,African studies,
Q106595016,American Indian law,Q4932206|Q7748,jurisprudence|law,,,,,969825,,sh85065315,,,,,,,discipline,"Indians of North America--Legal status, laws, etc.",,,
Q25340364,American literature,,,,,,,,,sh85004336,,,,,,,major,American literature,,,
Q470125,American studies,,,,,,,,4142196-6,,427.973|810,,,,,,major,,,,
Q35497,Ancient Greek,,,,,,,,4113791-7,,480,300387828|300387827,,,,,major,,,Ancient Greek (transliterated) (Latin),
Q13955,Arabic,,,,,,,812287,4241223-7,sh85006306,492.7,300387843,,,,AI19.A6,major,Arabic language,Arabic,Arabic (language),
Q1866303,Arabic grammar,,,,,,,,,sh86000279,,,,,,,major,Arabic language--Grammar,,,
Q194380,Arabic literature,,,,,,,,7507689-5,sh85006314,892.7,,,,,,major,Arabic literature,,,
Q1292502,Arabic poetry,,,,,,,812533,,sh85006333,892.71,,,,,PJ7541-PJ7561|PJ7631-PJ7661,major,Arabic poetry,General works,,
Q3621186,Arabic studies,Q476294,oriental studies,Q476294|Q1143546|Q2142577,oriental studies|cultural studies|Semitic studies,Q757248,papyrology,,4142845-6,,892.7|492.7,,,ArabicStudies,,,discipline,,,,
Q29401,Assamese,,,,,,,,4253033-7,sh85008742,491.451,300387879|300387878,,,,,major,Assamese language,,,
Q156859,Assyriology,,,,,,,,4143231-9,sh85008834,892.1|492.1,,,,,,major,Assyriology,,,
Q1765120,Bachelor of Arts,,,,,,,,,sh85010772,,,,,,,major,Bachelor of arts degree,,,
Q464974,Balkan studies,Q928786|Q15075764,area studies|European ethnology (Volkskunde),,,,,,4143942-9,,,,,,,,discipline,,,,
Q46202,Bose–Einstein condensate,,,,,,,,4402897-0,sh92005509,530.474,,,,,,major,Bose-Einstein condensation,,,
Q764912,British literature,,,,,,,,7503210-7,,,,,,,,major,,,,
Q748,Buddhism,,,,,,,840028,4008690-2,sh85017454,294.3,300073738,,,,BQ1-BQ9800,major,Buddhism,Polyglot,,
Q1000976,Buddhist studies,,,,,,,,4755247-5,,,,,,,,major,,,,
