qid,label,master_id,master_id_type,master_label,source,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc
Q229367,3D printing,sh2009006799,lcsh_id,3D printing,discipline,Q1408286|Q360931|Q1408288|Q47728,production process|additive manufacturing|manufacturing process|hobby,,,,,,1032223197,sh2009006799,621.988|670.285,300391465,,,,
Q383968,African American studies,sh85001992,lcsh_id,African American studies,major,,,,,,,,,sh85001992,,,,,,
Q386302,African art,sh85007528,lcsh_id,African art,major,,,,,,,,,sh85007528,709.6,,,,,
Q386319,African literature,sh85001733,lcsh_id,African literature,major,,,,,,,,,sh85001733,896,,,,,
Q38157,African studies,4122766-9,gnd_id,African studies,major,,,,,,,,4122766-9,,,300389815,,,,
Q106595016,American Indian law,sh85065315,lcsh_id,American Indian law,discipline,Q4932206|Q7748,jurisprudence|law,,,,,969825,,sh85065315,,,,,,
Q25340364,American literature,sh85004336,lcsh_id,American literature,major,,,,,,,,,sh85004336,,,,,,
Q470125,American studies,427.973,ddc,American studies,major,,,,,,,,4142196-6,,427.973|810,,,,,
Q69570620,americanistics,427.973,ddc,American studies,major,,,,,,,,4142196-6,,427.973|810,,,,,
Q35497,Ancient Greek,480,ddc,Ancient Greek,major,,,,,,,,4113791-7,,480,300387828|300387827,,,,
Q13955,Arabic,sh85006306,lcsh_id,Arabic,major,,,,,,,812287,4241223-7,sh85006306,492.7,300387843,,,,AI19.A6
Q1866303,Arabic grammar,sh86000279,lcsh_id,Arabic grammar,major,,,,,,,,,sh86000279,,,,,,
Q194380,Arabic literature,sh85006314,lcsh_id,Arabic literature,major,,,,,,,,7507689-5,sh85006314,892.7,,,,,
Q3621186,Arabic studies,892.7,ddc,Arabic studies,discipline,Q476294,oriental studies,Q476294|Q1143546|Q2142577,oriental studies|cultural studies|Semitic studies,Q757248,papyrology,,4142845-6,,892.7|492.7,,,ArabicStudies,,
Q29401,Assamese,sh85008742,lcsh_id,Assamese,major,,,,,,,,4253033-7,sh85008742,491.451,300387879|300387878,,,,
Q156859,Assyriology,sh85008834,lcsh_id,Assyriology,major,,,,,,,,4143231-9,sh85008834,892.1|492.1,,,,,
Q464974,Balkan studies,4143942-9,gnd_id,Balkan studies,discipline,Q928786|Q15075764,area studies|European ethnology (Volkskunde),,,,,,4143942-9,,,,,,,
Q46202,Bose–Einstein condensate,sh92005509,lcsh_id,Bose–Einstein condensate,major,,,,,,,,4402897-0,sh92005509,530.474,,,,,
Q764912,British literature,7503210-7,gnd_id,British literature,major,,,,,,,,7503210-7,,,,,,,
Q748,Buddhism,sh85017454,lcsh_id,Buddhism,major,,,,,,,840028,4008690-2,sh85017454,294.3,300073738,,,,BQ1-BQ9800
Q1000976,Buddhist studies,4755247-5,gnd_id,Buddhist studies,major,,,,,,,,4755247-5,,,,,,,
Q4090659,Bulgarian studies,4146908-2,gnd_id,Bulgarian studies,discipline,Q156864|Q464974,Slavic studies|Balkan studies,,,,,,4146908-2,,,,,,,
