qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc,flag_reason
Q124377625,3D web cartography,Q124377615,web cartography,,,,,,,,,,,,,,
Q136439567,A-Level Law,,,Q379609,GCE Advanced Level,,,,,,,,,,,,
Q136909490,AI Deployment Architecture (AIDA),Q477538|Q11660|Q5403493|Q13600188,systems architecture|artificial intelligence|ethics of technology|conceptual framework,,,,,,,,,,,,,,
Q136439579,AS Level Law,,,Q379609,GCE Advanced Level,,,,,,,,,,,,
Q113192749,"Aboriginal and Torres Strait Islander culture, language and history",Q108352346|Q113211688,indigenous studies|traditional Aboriginal and Torres Strait Islander knowledges,,,Q61270168|Q205143|Q5864946,Indigenous Australian culture|Australian Aboriginal languages|history of Indigenous Australians,,,,,,,,,,
Q113211377,Aboriginal and Torres Strait Islander education,Q108352346|Q113211688|Q7922,indigenous studies|traditional Aboriginal and Torres Strait Islander knowledges|pedagogy,,,,,,,,,,,,,,
Q109984809,Aboriginal and Torres Strait Islander environmental conservation,Q832237|Q109984814,environmental protection|Aboriginal and Torres Strait Islander studies,,,,,,,,,,,,,,
Q113212087,Aboriginal and Torres Strait Islander environmental knowledges and management,Q108352346|Q113211688|Q188847,indigenous studies|traditional Aboriginal and Torres Strait Islander knowledges|environmental science,,,,,,,,,,,,,,
Q109984820,Aboriginal and Torres Strait Islander land and water management,Q109984814|Q2001056|Q1501619,Aboriginal and Torres Strait Islander studies|land management|water management,,,,,,,,,,,,,,
Q113192756,Aboriginal and Torres Strait Islander men’s health and wellbeing,Q16150995,Indigenous health in Australia,,,,,,,,,,,,,,
Q113212205,"Aboriginal and Torres Strait Islander peoples, society and community",Q108352346|Q113211688|Q21201,indigenous studies|traditional Aboriginal and Torres Strait Islander knowledges|sociology,,,,,,,,,,,,,,
Q116921934,Aboriginal and Torres Strait Islander research methods,,,,,,,,,,,,,,,,
Q113212245,Aboriginal and Torres Strait Islander sciences,Q108352346|Q113211688|Q336,indigenous studies|traditional Aboriginal and Torres Strait Islander knowledges|science,,,,,,,,,,,,,,
Q109984814,Aboriginal and Torres Strait Islander studies,Q108352346,indigenous studies,,,,,,,,,,,,,,
Q65007471,Academic English Studies and Linguistics,,,,,,,,,,,,,,,,
Q15995649,Accounting research,,,,,,,,,,,,,,,,
Q634839,Act of Abjuration,,,Q205317|Q238533|Q7781,history of Belgium|history of the Netherlands|history of Spain,,,,,,,,,,,,
Q4680725,Adaptive coding,Q1345239,entropy coding,,,,,,,,,,,,,,
Q4686227,Advanced Management Program,,,,,,,,,,,,,,,,
Q123172092,Aerogeophysics,,,Q46255,geophysics,,,,,,,,,,,,
Q112898786,"Aesthetics, philosophy and history of art",,,,,,,,,,,,,,,,
Q383968,African American studies,Q1143546,cultural studies,,,,,,,sh85001992,,,,AfricanAmericanStudies,,,regional_language_variant
Q109018541,African civilization,Q8432,civilization,,,,,,,,,,,,,,
Q37542,African studies,,,,,,,,,,,,,,,,
Q38157,African studies,Q928786,area studies,,,,,,4122766-9,,,300389815,,AfricanStudies,,,
Q119021657,Africanistics,Q40634|Q38157,philology|African studies,,,,,,4122766-9,,,,,,,,
Q137194923,Afroasiatic studies,Q38157|Q4806809,African studies|Asian studies,,,,,,,,,,,,,,
Q120187797,Aglipayan ecclesiology,Q223693,ecclesiology,Q223693,ecclesiology,,,,,,,,,,,,
Q110231638,Agricultural biotechnology diagnostics (incl. biosensors),,,,,,,,,,,,,,,,
Q110252149,Agricultural marine biotechnology,Q882463,marine biotechnology,,,,,,,,,,,,,,
Q110295506,Agricultural molecular engineering of nucleic acids and proteins,Q19595794|Q3523861,agricultural biotechnology|molecular engineering,,,,,,,,,,,,,,
Q110252314,Agricultural production systems simulation,,,,,,,,,,,,,,,,
Q110252322,Agricultural spatial analysis and modelling,Q1938983|Q11451,spatial analysis|agriculture,,,,,,,,,,,,,,
Q110252240,"Agriculture, land and farm management",Q110231626,"agricultural, veterinary and food sciences",,,Q11451|Q2001056|Q1407914,agriculture|land management|farm management,,,,,,,,,,
Q120407434,Ainu literature,Q15945785,East Asian literature,Q15945785,East Asian literature,,,,,sh91000215,,,,,,,
Q135984617,Aisentica,,,Q135984206,The Theory of the Postsubject,,,,,,,,,,,,
Q25482005,Al-Farabi studies,,,,,,,,,,,,,,,,
Q115669282,Algerian studies,,,,,,,,,,,,,,,,
Q4724367,Algorithmic mechanism design,Q26090,mechanism design,,,,,,,,,,,,,,
Q106595016,American Indian law,Q4932206|Q7748,jurisprudence|law,,,,,969825,,sh85065315,,,,,,,
Q98822785,American ethnic studies,Q41870,ethnic studies,,,,,,,,,,,,,,
