qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc,flag_reason
Q383968,African American studies,Q1143546,cultural studies,,,,,,,sh85001992,,,,AfricanAmericanStudies,,,regional_language_variant
Q233762,American literature,Q116476,Western literature,Q113128838,North American literature,,,807113,,sh85004336,810,,01263633n,,,PS,regional_language_variant
Q25340364,American literature,Q58854,literary criticism,Q470125,American studies,,,,,sh85004336,,,,,,,regional_language_variant
Q470125,American studies,Q928786,area studies,,,,,,4142196-6,,427.973|810,,,AmericanStudies,,,regional_language_variant
Q4825228,Australian studies,Q1595873|Q1143546,domestic studies|cultural studies,,,,,,,,,,,AustralianStudies,,,regional_language_variant
Q764912,British literature,Q8242,literature,Q112939639,British and Irish literature,,,,7503210-7,,,,,,,,regional_language_variant
Q4971458,British studies,,,,,,,,,,,,,BritishStudies,,,regional_language_variant
Q1723523,Canadian literature,Q8242,literature,Q113128838,North American literature,Q115160921|Q115154799,Canadian literature in French|Canadian literature in English,845111,,sh85019388,,,,,,,regional_language_variant
Q4676302,Canadian studies,Q928786|Q27968|Q1277348,area studies|English studies|Romance studies,,,Q1723523|Q2945|Q1103954|Q276861,Canadian literature|history of Canada|culture of Canada|politics of Canada,,7686561-7,,427.971|810,,,,,,regional_language_variant
Q85710429,Caribbean studies,Q28617|Q928786,Latin American studies|area studies,,,,,,,,,,,,,,regional_language_variant
Q1860,English,Q1346342|Q5329170,Anglic|Anglo-Frisian,,,Q7985|Q7976|Q44679|Q1348800|Q44676|Q7979|Q1553250|Q665624|Q2363292|Q7269768|Q4567134|Q8002|Q23580217|Q1156228|Q12859294|Q7033019|Q44661|Q603200|Q111911970|Q1068863,received pronunciation|American English|Australian English|Indian English|Canadian English|British English|Scottish English|Hiberno-English|Welsh English|Quebec English|Caribbean English|African American Vernacular English|European English|South African English|Pakistani English|Nigerian English|New Zealand English|Jamaican English|Belizean English|Hong Kong English,910920,4014777-0,sh85043413,420,300388277,00030862n,EnglishLanguage,,PE,natural_language
Q130192,English as a second or foreign language,Q1860|Q7691272,English|teaching English as a second or foreign language,,,,,,,sh85043710,,,,,,,natural_language
Q1370467,EuroVoc,,,Q54837|Q75487064,Semantic Web|EU Vocabularies,,,,4474210-1,,,,00472535n,,,,known_bad_qid
Q1048268,European integration,,,,,,,,4071013-0,,,,,EuropeanIntegration,,,regional_language_variant
Q1377029,European studies,Q1595873,domestic studies,,,,,,,,,,,EuropeanStudies,,,regional_language_variant
Q17076284,French as a foreign language,Q1450761,French studies,,,,,,,,,,,,,,natural_language
Q9129,Greek,Q2042538|Q85380120,Hellenic|Southern European language,,,Q29448469|Q35497|Q107358|Q36387|Q36510|Q4400023,Latin or Greek word|Ancient Greek|Koine Greek|medieval Greek|Modern Greek|Mariupolitan Greek,,,sh85057151,,300389734,00041634n,ModernGreekLanguage,,,natural_language
