qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc
Q229367,3D printing,Q1408286|Q360931|Q1408288|Q47728,production process|additive manufacturing|manufacturing process|hobby,,,,,,1032223197,sh2009006799,621.988|670.285,300391465,,,,
Q62029351,5G NR,,,,,,,,,,,,,,,
Q379626,Advanced Message Queuing Protocol,,,,,,,,,,,,,,,
Q106595016,American Indian law,Q4932206|Q7748,jurisprudence|law,,,,,969825,,sh85065315,,,,,,
Q3621186,Arabic studies,Q476294,oriental studies,Q476294|Q1143546|Q2142577,oriental studies|cultural studies|Semitic studies,Q757248,papyrology,,4142845-6,,892.7|492.7,,,ArabicStudies,,
Q4806809,Asian studies,Q928786|Q476294,area studies|oriental studies,,,,,,,,,,01563056n,AsianStudies,,
Q464974,Balkan studies,Q928786|Q15075764,area studies|European ethnology (Volkskunde),,,,,,4143942-9,,,,,,,
Q47011897,Black Loch Crannog,,,,,,,,,,,,,,,
Q4090659,Bulgarian studies,Q156864|Q464974,Slavic studies|Balkan studies,,,,,,4146908-2,,,,,,,
Q5060376,Central Asian studies,Q4806809,Asian studies,,,,,,,,,,,CentralAsianStudies,,
Q216545,Christian theology,Q34178,theology,,,Q5405836,Eucharistic theology,1149559,,sh85134665,230,,,ChristianTheology,,BR118-BR119.2
Q120969801,Claims,,,,,,,,,,,,,,,
Q5145857,Collaborative software development model,Q2904257,software development process,,,,,,,,,,,,,
Q120969791,Computational folkloristics,,,,,,,,,,,,,,,
Q131289096,Computer technology,Q85753733,computing education,,,,,,,,,,,,,
Q120910082,Cultural heritage access,,,,,,,,,,,,,,,
Q59068,Czech studies,Q16872093,West Slavic Studies,Q16872093,West Slavic Studies,,,,4186370-7,,,,,,,
Q120910095,DEO,,,,,,,,,,,,,,,
Q120969808,DL reasoners,,,,,,,,,,,,,,,
Q840067,Defeasible reasoning,,,,,,,,,,,,,,,
Q120910091,Description logic programs,,,,,,,,,,,,,,,
Q120910080,Discourse relations,,,,,,,,,,,,,,,
Q120969788,Document similarity,,,,,,,,,,,,,,,
Q1128227,Dravidian studies,Q625510,Indology,,,,,,,,,,,,,
Q8008,Earth science,Q107287417|Q7991,earth and planetary science|natural science,,,,,900729,4020288-4|4131991-6,sh85040468,550,300054542,00029440n,EarthScience,,
Q162817,East Asian studies,Q4806809,Asian studies,,,,,,4312428-8,,,,02575816n,,,
Q1413113,Eastern European studies,Q1377029,European studies,,,,,,,,,,,,,
Q89663479,English word,Q8171,word,,,,,,,,,,,,,
Q5405836,Eucharistic theology,Q216545,Christian theology,Q216545,Christian theology,,,,,,,,,,,
Q1370467,EuroVoc,,,Q54837|Q75487064,Semantic Web|EU Vocabularies,,,,4474210-1,,,,00472535n,,,
Q15075764,European ethnology (Volkskunde),Q34749|Q1143546,social science|cultural studies,,,,,,4078937-8,,,,,,,
Q120969781,Factoid question answering,,,,,,,,,,,,,,,
Q5769133,Factual science,Q336,science,,,,,,,,,,,,,
Q120969816,Financial Transparency System,,,,,,,,,,,,,,,
Q11790208,Forest sciences,,,,,,,,,,,,,,,
Q1453477,Freebase,,,,,Q15241312,Freebase Data Dumps,,,,,,,,,
Q15241312,Freebase Data Dumps,,,Q1453477|Q648625,Freebase|Google Knowledge Graph,,,,,,,,,,,
Q105233699,French horn performance,Q6942562,musical performance,,,,,,,,,,,,,
Q120969786,Full-Network embedding,,,,,,,,,,,,,,,
Q944537,Geisteswissenschaften,Q1587903|Q336,human science|science,,,,,,4019838-8,,001.3,,,,,
Q120910086,Geospatial semantics,,,,,,,,,,,,,,,
Q5593683,Grammatical Framework,,,,,,,,,,,,,,,
Q12310624,Greenlandic and Arctic Studies,,,Q4532729,Eskimology,,,,,,,,,,,
Q29980364,Hebrew Bible studies,Q794605,biblical studies,,,,,,,,,,,,,
Q5938602,Human systems engineering,,,,,,,,,,,,,,,
Q2551624,IPv6,,,Q251212,Internet of things,,,,4462513-3,,,,,InternetProtocol-v6,,
Q625510,Indology,Q105397778,South Asia studies,,,,,,4161576-1,,491.1|891.1,,00567413n,Indology,,
Q1661989,Industry 4.0,,,,,Q251212|Q1120057|Q1067099|Q11660|Q188961|Q858810|Q25112020|Q116757387|Q1571520|Q1282900|Q16856938|Q114693590|Q114688556|Q7544072,Internet of things|cyber-physical system|internetworking|artificial intelligence|decentralization|big data|smart manufacturing|Maintenance 4.0|vertical integration|horizontal integration|Smart Factory|Intelligent Process|intelligent machine|smart product,,,,,,,,,
Q11802245,Integrated software,Q7397,software,,,,,,,sh88000222,,,,,,
Q114693590,Intelligent Process,Q107307291,artificially intelligent entity,,,,,,,,,,,,,
Q251212,Internet of things,Q11253473,smart device,,,Q10322548|Q18761595|Q2551624|Q379626|Q483639|Q62029351,MQTT|internet of things protocol|IPv6|Advanced Message Queuing Protocol|cloud computing|5G NR,,7713781-4,sh2013000266,658.514|338.064|004.678,,,,,
Q135050458,Intersectionality Studies,,,,,,,,,,,,,,,
Q81457224,Interspheral System,Q3622126,conceptual system,,,,,,,,,,,,,
Q1367176,Iranian studies,Q12211529,Middle Eastern studies,Q12211529,Middle Eastern studies,,,,4162398-8,sh85067916,891.5|491.5,,,IranianStudies,,
Q843909,Islamic studies,Q476294,oriental studies,,,Q757248,papyrology,979852,4162468-3,sh85068408,297|297.071,,,IslamicStudies,,
Q3155376,Islamology,,,,,,,,,sh85068408,,,,,,
Q3745495,Italian philology,Q40634,philology,,,,,,,sh85068840,,,,,,
Q42002,Jewish studies,Q34187|Q1143546|Q1066186,religious studies|cultural studies|study of history,,,Q739465|Q3592613|Q108823107|Q7007095|Q757248,study of the Hebrew language|genetic studies of Jews|Jewish communities studies|Land of Israel Studies and Archaeology|papyrology,,4162796-9,sh85070866,,,,,,
Q120969700,Knowledge base generation,,,,,,,,,,,,,,,
Q120969776,Knowledge patterns,,,,,,,,,,,,,,,
Q17884,LGBTQ,,,,,,,,7705503-2,,,300400510,03517991n,LGBT,,
Q120910097,Legal Semantic Web,,,,,,,,,,,,,,,
Q120969826,Legal knowledge modeling,,,,,,,,,,,,,,,
Q120969814,Linguistic data,,,,,,,,,,,,,,,
Q98925312,Link prediction,,,,,,,,,,,,,,,
Q120910088,Link prediction and discovery,,,,,,,,,,,,,,,
Q120910101,Linked Data assessment,,,,,,,,,,,,,,,
Q3919686,MARC 21,Q59155265,textual data format,Q722609,MARC standards,,,,,,,,,,,
