qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc
Q383968,African American studies,Q1143546,cultural studies,,,,,,,sh85001992,,,,AfricanAmericanStudies,,
Q38157,African studies,Q928786,area studies,,,,,,4122766-9,,,300389815,,AfricanStudies,,
Q119021657,Africanistics,Q40634|Q38157,philology|African studies,,,,,,4122766-9,,,,,,,
Q120407434,Ainu literature,Q15945785,East Asian literature,Q15945785,East Asian literature,,,,,sh91000215,,,,,,
Q106595016,American Indian law,Q4932206|Q7748,jurisprudence|law,,,,,969825,,sh85065315,,,,,,
Q233762,American literature,Q116476,Western literature,Q113128838,North American literature,,,807113,,sh85004336,810,,01263633n,,,PS
Q25340364,American literature,Q58854,literary criticism,Q470125,American studies,,,,,sh85004336,,,,,,
Q470125,American studies,Q928786,area studies,,,,,,4142196-6,,427.973|810,,,AmericanStudies,,
Q194380,Arabic literature,Q8242,literature,,,,,,7507689-5,sh85006314,892.7,,,ArabicLiterature,,
Q3621186,Arabic studies,Q476294,oriental studies,Q476294|Q1143546|Q2142577,oriental studies|cultural studies|Semitic studies,Q757248,papyrology,,4142845-6,,892.7|492.7,,,ArabicStudies,,
Q625699,Aramaic  studies,Q2142577,Semitic studies,,,,,,7725067-9,,,,,,,
Q100709157,Asian law,Q7748|Q4932206,law|jurisprudence,,,,,,,sh91005264,,,,,,KM1-KM999
Q149512,Asian literature,Q8242,literature,Q149806,culture of Asia,,,,,sh85095618,,,,,,
Q156859,Assyriology,Q4752891,ancient Near Eastern studies,,,,,,4143231-9,sh85008834,892.1|492.1,,,Assyriology,,
Q778187,Atmospheric dispersion modeling,Q1116876,scientific modeling,,,,,,7508323-1,,,,,AtmosphericDispersionModeling,,
Q205143,Australian Aboriginal languages,Q645304|Q1121537,indigenous language|languages of Australia,Q113192749,"Aboriginal and Torres Strait Islander culture, language and history",,,,4143667-2,sh85009639,499.15,300387892,02809210n,AustralianLanguageFamily,,
Q464974,Balkan studies,Q928786|Q15075764,area studies|European ethnology (Volkskunde),,,,,,4143942-9,,,,,,,
Q4874481,Bayesian statistics,,,Q12483,statistics,,,,,,,,,,,QA279.5
Q2350342,Belarusian literature,Q8242,literature,Q1445079,culture of Belarus,,,,7508023-0,sh85018440,891.799,,,,,
Q680555,Berber literature,Q8242|Q93693589,literature|Berber culture,,,,,,,sh85013287,893.3,,,,,
Q191076,Bose-Einstein statistics,,,,,,,,4146391-2,,530.474,,,,,
Q764912,British literature,Q8242,literature,Q112939639,British and Irish literature,,,,7503210-7,,,,,,,
Q1000976,Buddhist studies,Q34187,religious studies,,,,,,4755247-5,,,,,BuddhistStudies,,
Q2267821,Bulgarian literature,Q7539371,Slavic literature,Q2588810,culture of Bulgaria,,,,,sh85017905,891.81,,,,,
Q4090659,Bulgarian studies,Q156864|Q464974,Slavic studies|Balkan studies,,,,,,4146908-2,,,,,,,
Q1723523,Canadian literature,Q8242,literature,Q113128838,North American literature,Q115160921|Q115154799,Canadian literature in French|Canadian literature in English,845111,,sh85019388,,,,,,
Q4676302,Canadian studies,Q928786|Q27968|Q1277348,area studies|English studies|Romance studies,,,Q1723523|Q2945|Q1103954|Q276861,Canadian literature|history of Canada|culture of Canada|politics of Canada,,7686561-7,,427.971|810,,,,,
Q1735560,Catalan philology,Q24260742|Q40634,catalanistics|philology,,,,,,4249908-2,,,,,,,
Q1367940,Catholic theology,Q216545,Christian theology,,,,,,4030005-5,,,,00848908n,,,
Q5058556,Celtic literature,Q8242,literature,Q9706709,Celtic culture,,,,,,891,,,,,
Q27997,Celtic studies,Q40634,philology,,,,,,4163569-3,,,,,CelticStudies,,
Q5095927,Chicana/o studies,Q23010571,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano studies",,,,,1019157,,sh85084494,,,,ChicanoStudies,,
Q5097921,Child safeguarding,Q21010924,safety precaution,,,,,,4132262-9,,,,,,,
Q756615,Chinese art,Q13150034,art of the Earth,Q12781386,arts of China,,,,,sh85007599,709.51,,,,,
Q576921,Chinese classics,Q10863072,Q10863072,,,,,,,sh85024259|sh85024324,,,,,,
Q133908,Chinese historiography,Q50675,historiography,,,,,,,sh2008100544,,,,,,
Q2135373,Chinese law,,,,,Q835068|Q6503489,law of the People's Republic of China|Law of Taiwan,,,sh2008106431,,,,,,
Q456012,Chinese literature,Q15945785,East Asian literature,Q15945785,East Asian literature,Q1069928,Chinese poetry,,7507839-9,sh85024323,895.1,,00756275n,,Chinese_Literature,
Q5110307,Christian biblical canons,Q1845,Bible,,,,,,,sh85013589,,,,,,
Q2665156,Christian ethics,Q14254438|Q216545|Q4392985,religious ethics|Christian theology|religious identity,,,,,,4078249-9,,,,,,,BJ1188.5-BJ1278.5|BV4622-BV4780
Q216545,Christian theology,Q34178,theology,,,Q5405836,Eucharistic theology,1149559,,sh85134665,230,,,ChristianTheology,,BR118-BR119.2
Q9581,Confucianism,Q307043,Eastern philosophy,,,Q11505780|Q8282056|Q825754|Q1195567|Q11355410|Q7264335,Confucianism in Japan|Confucianism in Indonesia|Neo-Confucianism|Korean Confucianism|three virtues of Confucianism|Three Essentials and Five Virtues,,4032089-3,sh85031069,181.112|299.512,300143430,,Confucianism,Confucianism,BL1830-BL1883|B127.C65
Q1784169,Coptology,Q476294|Q439072,oriental studies|classical studies,,,Q757248,papyrology,,4165291-5,,,,,,,
Q1140539,Critical legal studies,Q4932206|Q847034,jurisprudence|sociology of law,,,,,,7587041-1,,,,,,,
Q282445,Czech literature,Q8242,literature,,,,,,,sh85035275,891.86,,,,,
Q59068,Czech studies,Q16872093,West Slavic Studies,Q16872093,West Slavic Studies,,,,4186370-7,,,,,,,
Q1987969,Dutch studies,Q2620112,Germanic philology,,,,,,4283850-2,,,,,,,
Q8008,Earth science,Q107287417|Q7991,earth and planetary science|natural science,,,,,900729,4020288-4|4131991-6,sh85040468,550,300054542,00029440n,EarthScience,,
Q162817,East Asian studies,Q4806809,Asian studies,,,,,,4312428-8,,,,02575816n,,,
Q84505214,East Asian studies scholar,Q1731155,orientalist,,,,,1740745,4495097-4|1201786878,sh2006003329,,,,,,
Q145903,Egyptology,Q4752891|Q23498,ancient Near Eastern studies|archaeology,,,Q757248,papyrology,,4141476-7,sh85041367,893.1|932|493.1,300264391,,Egyptology,,
