qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc,openalex_id,openalex_primary,openalex_display,openalex_sim,openalex_alternatives,openalex_status,openalex_notes
Q623313,Ottoman studies,Q476294|Q12211529|Q8427,oriental studies|Middle Eastern studies|Turkology,Q8427,Turkology,,,,4745131-2,,494.35|894.35,,,,,,S4210192759,,,0.0,,id_type_error,unknown_prefix:S4210192759
Q207628,composed musical work,Q2188189,musical work,,,,,,4133320-2,,781.3,300417577,00021408n,MusicalComposition,,,C109568592,C109568592,Musical composition,0.45,,needs_review,
Q1750812,ergonomics,Q11023,engineering,,,,,,4015249-2,sh85062867,004.019|005.019|620.82|621.3984,300054385,,Ergonomics,,,C2988967680|C166735990,C166735990,Human factors and ergonomics,0.526,C2988967680,needs_review,had_2_candidates
Q160289,hearing,Q160402|Q14908172,perception|sensory perception of mechanical stimulus,Q1051623|Q569965,five wits|audiology,Q11461,sound,,4125741-8,sh85009496,155.422215|152.15,300055139,00007120n,Hearing,,,C3020799230,C3020799230,Auditory perception,0.308,,needs_review,
Q1344860,historically informed performance,Q6942562|Q657069,musical performance|historical reenactment,,,,,,4197967-9,sh2020008754,,,,,,,C2993622096,C2993622096,Performance practice,0.415,,needs_review,
Q122131,history of Germany,Q7787,history of Europe,,,Q706790|Q104731094|Q713750,history of East Germany|history of the Weimar Republic|West Germany,,,sh85054524,943,,00518576n,,,,C2993637838,C2993637838,German history,0.438,,needs_review,
Q646206,history of Rome,Q7791,history of Italy,,,,,,,sh85115198,,,,,,,C2993800547,C2993800547,Roman history,0.5,,needs_review,
Q1333743,literary composing,Q6486703|Q116751803,language arts|composing,,,,,871741,4136011-4,sh85029406,,,,Composition,,,C40231798,C40231798,Composition (language),0.45,,needs_review,
Q44497,mining,Q548599,exploitation of natural resources,Q1945600,mining industry,Q1995444|Q306093,mineral processing|mineral extraction,,4005614-4,,622,300054710,,Mining,,,C2984157484,C2984157484,Mining industry,0.571,,needs_review,
Q3281534,modern period,Q309,history,Q816829,periodization,Q5308718|Q186075|Q111146040|Q6495391,early modern period|contemporary history|newest history|late modern period,,4171678-4,sh85061236,,,,,,,C155405519,C155405519,Modern history,0.593,,needs_review,
Q14254438,religious ethics,Q9465,ethics,,,,,,,sh85112567,,300054312,,ReligiousEthics,,BJ47|BJ1188-BJ1295,C2780690153,C2780690153,Moral theology,0.333,,needs_review,
Q52946,speech,Q1066689|Q11461|Q4127956,human communication|sound|second signal system,Q11024,communication,Q25481968,speech act,,4116580-9,sh85126434,080,300055195,00049911n,Speaking,,,C2983306500|C2989496772,C2989496772,Speech communication,0.462,C2983306500,needs_review,had_2_candidates
Q249,wireless communication,Q418|Q1061219,telecommunications|telecommunications engineering,,,Q113161436,microwave and millimetrewave research,1176209,,sh92006740,,,17337929n,WirelessCommunication,,,C555944384,C555944384,Wireless,0.533,,needs_review,
