qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc,openalex_id
Q383968,African American studies,Q1143546,cultural studies,,,,,,,sh85001992,,,,AfricanAmericanStudies,,,
Q120407434,Ainu literature,Q15945785,East Asian literature,Q15945785,East Asian literature,,,,,sh91000215,,,,,,,
Q106595016,American Indian law,Q4932206|Q7748,jurisprudence|law,,,,,969825,,sh85065315,,,,,,,
Q233762,American literature,Q116476,Western literature,Q113128838,North American literature,,,807113,,sh85004336,810,,01263633n,,,PS,C5399437
Q470125,American studies,Q928786,area studies,,,,,,4142196-6,,427.973|810,,,AmericanStudies,,,C189807693|P4310322130
Q194380,Arabic literature,Q8242,literature,,,,,,7507689-5,sh85006314,892.7,,,ArabicLiterature,,,C154735087
Q3621186,Arabic studies,Q476294,oriental studies,Q476294|Q1143546|Q2142577,oriental studies|cultural studies|Semitic studies,Q757248,papyrology,,4142845-6,,892.7|492.7,,,ArabicStudies,,,
Q100709157,Asian law,Q7748|Q4932206,law|jurisprudence,,,,,,,sh91005264,,,,,,KM1-KM999,
Q156859,Assyriology,Q4752891,ancient Near Eastern studies,,,,,,4143231-9,sh85008834,892.1|492.1,,,Assyriology,,,
Q4874481,Bayesian statistics,,,Q12483,statistics,,,,,,,,,,,QA279.5,C101112237
Q4676302,Canadian studies,Q928786|Q27968|Q1277348,area studies|English studies|Romance studies,,,Q1723523|Q2945|Q1103954|Q276861,Canadian literature|history of Canada|culture of Canada|politics of Canada,,7686561-7,,427.971|810,,,,,,C544031030
Q5058556,Celtic literature,Q8242,literature,Q9706709,Celtic culture,,,,,,891,,,,,,
Q5095927,Chicana/o studies,Q23010571,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano studies",,,,,1019157,,sh85084494,,,,ChicanoStudies,,,
Q756615,Chinese art,Q13150034,art of the Earth,Q12781386,arts of China,,,,,sh85007599,709.51,,,,,,C130160918
Q133908,Chinese historiography,Q50675,historiography,,,,,,,sh2008100544,,,,,,,
Q2135373,Chinese law,,,,,Q835068|Q6503489,law of the People's Republic of China|Law of Taiwan,,,sh2008106431,,,,,,,C158786674
Q456012,Chinese literature,Q15945785,East Asian literature,Q15945785,East Asian literature,Q1069928,Chinese poetry,,7507839-9,sh85024323,895.1,,00756275n,,Chinese_Literature,,C41555743
Q2665156,Christian ethics,Q14254438|Q216545|Q4392985,religious ethics|Christian theology|religious identity,,,,,,4078249-9,,,,,,,BJ1188.5-BJ1278.5|BV4622-BV4780,C516449090
Q8008,Earth science,Q107287417|Q7991,earth and planetary science|natural science,,,,,900729,4020288-4|4131991-6,sh85040468,550,300054542,00029440n,EarthScience,,,C1965285
Q145903,Egyptology,Q4752891|Q23498,ancient Near Eastern studies|archaeology,,,Q757248,papyrology,,4141476-7,sh85041367,893.1|932|493.1,300264391,,Egyptology,,,C196977105
Q130192,English as a second or foreign language,Q1860|Q7691272,English|teaching English as a second or foreign language,,,,,,,sh85043710,,,,,,,C2986378755|C2993791317|C3018469783
Q27968,English studies,Q11790583|Q40634,modern philology|philology,,,Q109587623|Q560583|Q1321978|Q28856|Q160845|Q784975|Q133500|Q113861611,English literature|English grammar|linguistic prescription|stylistics|sociolinguistics|history of English|learning|history of English literature,912245,4002046-0,sh85043929,420|820,,00030864n,,,PE,C68333046
Q1334834,Estonian literature,,,,,,,,,sh85044989,894.545,,,,,,
Q6689,French literature,Q8242,literature,Q11891165|Q787221,Romance literature|Francophone literature,,,934688,7507697-4,sh85051865,840,,,FrenchLiterature,,,C52959194
Q61378343,Galician-Portuguese literature,Q8242,literature,Q11891165,Romance literature,,,,,sh85105350,,,,,,,
