child_qid,child_label,parent_qid,parent_label,direction,level
Q34442,road,Q83620,thoroughfare,up,0
Q34442,road,Q1322323,itinerary,up,0
Q34442,road,Q27955379,road transport infrastructure,up,0
Q34442,road,Q28456301,linear infrastructure intrusions,up,0
Q34442,road,Q113519195,"long, thin object",up,0
Q34442,road,Q123414165,road or street,up,0
Q138571385,road in Mexico,Q34442,road,down,0
Q1525,roundabout,Q34442,road,down,0
Q12743,ford,Q34442,road,down,0
Q54114,boulevard,Q34442,road,down,0
Q79007,street,Q34442,road,down,0
Q182555,ice road,Q34442,road,down,0
Q194029,Roman road,Q34442,road,down,0
Q207934,avenue,Q34442,road,down,0
Q227594,feeder route,Q34442,road,down,0
Q269949,highway,Q34442,road,down,0
Q479021,Inlandsvägen,Q34442,road,down,0
Q489768,corniche,Q34442,road,down,0
Q510662,ring road,Q34442,road,down,0
Q598008,Imperial road,Q34442,road,down,0
Q624050,National Tourist Routes in Norway,Q34442,road,down,0
Q651580,Swedish national road,Q34442,road,down,0
Q703941,private road,Q34442,road,down,0
Q728802,Asian Highway Network,Q34442,road,down,0
Q782667,road runway,Q34442,road,down,0
Q786061,spur route,Q34442,road,down,0
Q800118,Forest Highway,Q34442,road,down,0
Q800368,National Forest Scenic Byway,Q34442,road,down,0
Q818837,auto trail,Q34442,road,down,0
Q820092,Q820092,Q34442,road,down,0
Q839158,Rustic Roads,Q34442,road,down,0
Q899177,Brazilian Highway System,Q34442,road,down,0
Q909299,Swedish county road,Q34442,road,down,0
Q1047280,Q1047280,Q34442,road,down,0
Q1091263,Kamakura's Seven Entrances,Q34442,road,down,0
Q1126291,Spirit way,Q34442,road,down,0
Q1169870,educational trail,Q34442,road,down,0
Q1240054,corduroy road,Q34442,road,down,0
Q1249483,bicycle boulevard,Q34442,road,down,0
Q1259617,Voivodeship road,Q34442,road,down,0
Q1300787,main roads of Switzerland,Q34442,road,down,0
Q1302778,dual carriageway,Q34442,road,down,0
Q1304276,arterial road,Q34442,road,down,0
Q1406331,scenic route,Q34442,road,down,0
Q1418214,chaussee,Q34442,road,down,0
Q1474033,transport in Namibia,Q34442,road,down,0
Q1477381,Q1477381,Q34442,road,down,0
Q1497067,mountain road,Q34442,road,down,0
Q1562270,Güterweg,Q34442,road,down,0
Q1645474,roadway,Q34442,road,down,0
Q1716124,national road,Q34442,road,down,0
Q1738241,Cellar alley,Q34442,road,down,0
Q1739330,Q1739330,Q34442,road,down,0
Q1757434,Logging trail,Q34442,road,down,0
Q1771902,Norwegian county road,Q34442,road,down,0
Q1777164,Q1777164,Q34442,road,down,0
Q1779930,bypass,Q34442,road,down,0
Q1799930,Team track,Q34442,road,down,0
Q1800333,Lagerstraße,Q34442,road,down,0
Q1839589,Russian regional highways,Q34442,road,down,0
Q1879210,Napoleon road,Q34442,road,down,0
Q1926721,area access road,Q34442,road,down,0
Q1944234,town road,Q34442,road,down,0
Q1967342,national highways of India,Q34442,road,down,0
Q1970779,Q1970779,Q34442,road,down,0
Q2013654,Q2013654,Q34442,road,down,0
Q2086461,Q2086461,Q34442,road,down,0
Q2127210,tilting road,Q34442,road,down,0
Q2133719,water board road,Q34442,road,down,0
Q2145163,trunk road,Q34442,road,down,0
Q2185579,diverticulum,Q34442,road,down,0
Q2218199,Hessenweg,Q34442,road,down,0
Q2222754,provincial road,Q34442,road,down,0
Q2225710,Wed,Q34442,road,down,0
Q2289288,single-track road,Q34442,road,down,0
Q2345080,recreatieve weg,Q34442,road,down,0
Q2377203,death road,Q34442,road,down,0
Q2469599,tiend road,Q34442,road,down,0
Q2485474,corpse road,Q34442,road,down,0
Q2504435,farm-to-market road,Q34442,road,down,0
Q2536242,B-road,Q34442,road,down,0
Q2571493,N roads,Q34442,road,down,0
Q2692757,stadsroute,Q34442,road,down,0
Q2759867,urban highway,Q34442,road,down,0
Q2828280,layby parking,Q34442,road,down,0
Q2871417,Q2871417,Q34442,road,down,0
Q2881503,frontage road,Q34442,road,down,0
Q2936606,Route nationale d'intérêt local,Q34442,road,down,0
Q3048788,2+1 road,Q34442,road,down,0
Q3081879,secondary road,Q34442,road,down,0
Q3279852,Regional High-Standard Highways in Japan,Q34442,road,down,0
Q3375563,Perquage,Q34442,road,down,0
Q3445465,museum road,Q34442,road,down,0
Q3477426,pavé sector,Q34442,road,down,0
Q3650832,Calle,Q34442,road,down,0
Q3693417,cordonata,Q34442,road,down,0
Q3866984,Mule trails,Q34442,road,down,0
Q3905724,piscina,Q34442,road,down,0
Q3936268,rio terà,Q34442,road,down,0
