pid,label,entity_count,pct,sample_values
P646,Freebase ID,198,75.0,/m/02_286 | /m/030qb3t | /m/0d6nx
P1566,GeoNames ID,140,53.0,5128581 | 5368361 | 7173700
P214,VIAF cluster ID,116,43.9,266415900 | 233013566 | 237298336
P8189,National Library of Israel J9U ID,91,34.5,987007552649105171 | 987007554810605171 | 987007531076905171
P227,GND ID,90,34.1,4042011-5 | 4036361-2 | 4005762-8
P244,Library of Congress authority ID,86,32.6,n79007751 | n79021240 | n79065374
P13591,‎Yale LUX ID,85,32.2,concept/df43130d-8271-4f4b-ad42-ca2277e73207 | concept/3eb9eae1-5044-4670-9eda-86bb2314034f | place/c1ea378e-d24a-436b-9a82-0c1e882caaf3
P402,OpenStreetMap relation ID,83,31.4,175905 | 207359 | 1682378
P1417,Encyclopædia Britannica Online ID,76,28.8,place/New-York-City | place/Los-Angeles-California | topic/Los-Angeles-by-Part
P691,NL CR AUT ID,71,26.9,ge130170 | ge134331 | ge128752
P6766,Who's on First ID,71,26.9,85977539 | 85923517 | 101748453
P3417,Quora topic ID,70,26.5,New-York-City | Los-Angeles-CA | Los-Angelese-CA
P9957,museum-digital place ID,69,26.1,359 | 58619 | 2019
P1296,Gran Enciclopèdia Catalana ID (former scheme),68,25.8,0046509 | 0038554 | 0038390
P2924,Great Russian Encyclopedia Online ID (2017),68,25.8,2280838 | 5297930 | 2158620
P4342,Great Norwegian Encyclopedia ID,68,25.8,New_York | Los_Angeles | Bern_-_by
P8168,FactGrid item ID,67,25.4,Q22109 | Q22160 | Q22556
P7305,Online PWN Encyclopedia ID,67,25.4,3948850 | 3933806 | 3876456
P12385,Gran Enciclopèdia Catalana ID,66,25.0,nova-york-0 | los-angeles-0 | londres
P8313,Lex ID,63,23.9,New_York_City | Los_Angeles | Los_Angeles_-_arkitektur_og_museer
P1667,Getty Thesaurus of Geographic Names ID,62,23.5,7007567 | 7023900 | 7007557
P10832,WorldCat Entities ID,59,22.3,E39QbtfRvQh7864Jh4rDGBFDWc | E39PBJfWYmJkDYcpGWYVDfWxDq | E39PBJj8KmTjYtbk9p9t4CMtrq
P2671,Google Knowledge Graph ID,59,22.3,/g/11bc5zw6fz | /g/121fw6d7 | /g/1237w16b
P12800,Vikidia article ID,58,22.0,en:New_York_City | es:Nueva_York | eu:New_York
P5063,Interlingual Index ID,53,20.1,i84552 | i84250 | i84123
P2163,FAST ID,52,19.7,1204333 | 1204540 | 1205493
P269,IdRef ID,52,19.7,027311538 | 026581019 | 027447278
P8814,WordNet 3.1 Synset ID,52,19.7,09141944-n | 09086143-n | 09054796-n
P12749,SNARC ID,51,19.3,Q1904 | Q2683 | Q1423
P2326,GNS Unique Feature ID,51,19.3,-2601889 | 14683712 | -2610992
P1225,U.S. National Archives Identifier,50,18.9,10045276 | 10046660 | 10045254
P2581,BabelNet ID,50,18.9,00041611n | 00019336n | 00010046n
P5019,Brockhaus Enzyklopädie online ID,50,18.9,new-york-20 | los-angeles-20 | bern
P5573,archINFORM location ID,50,18.9,1953 | 1849 | 1499
P11693,OpenStreetMap node ID,49,18.6,61785451 | 1738808199 | 18477455
P8519,RKD thesaurus ID,47,17.8,392 | 1173 | 355
P1617,BBC Things ID,47,17.8,97b1cae0-16a8-49f8-bbe1-605669ea745e | 3cf667b9-0129-49a5-8248-ed949b629e82 | 8d619a09-95c9-41b9-8b4d-27ccb52f5243
P268,Bibliothèque nationale de France ID,45,17.0,11880105b | 11938130m | 15238463r
P982,MusicBrainz area ID,44,16.7,74e50e58-5deb-4b99-93a2-decbb365c07f | 1f40c6e1-47ba-4e35-996f-fe6ee5840e62 | e03bf3ef-3e0b-4f51-9600-a161cbd5fb75
P3219,Encyclopædia Universalis ID,44,16.7,new-york | los-angeles | berne
P12086,WikiKids ID,44,16.7,Los_Angeles | Londen | Alexandrië
P2347,YSO ID,43,16.3,105663 | 107719 | 234582
P3222,NE.se ID,42,15.9,new-amsterdam | new-york | los-angeles
P1245,OmegaWiki Defined Meaning,42,15.9,754564 | 346555 | 931359
