qid,label,count,pct
Q1549591,big city,21,8.0
Q515,city,20,7.6
Q839954,archaeological site,20,7.6
Q15661340,ancient city,19,7.2
Q486972,human settlement,16,6.1
Q3624078,sovereign state,14,5.3
Q6256,country,13,4.9
Q3957,town,12,4.5
Q532,village,12,4.5
Q3024240,historical country,12,4.5
Q10864048,first-level administrative division,12,4.5
Q8502,mountain,12,4.5
Q23397,lake,12,4.5
Q34038,waterfall,12,4.5
Q34442,road,12,4.5
Q23413,castle,12,4.5
Q51929311,largest city,11,4.2
Q165,sea,11,4.2
Q44782,port,11,4.2
Q23442,island,10,3.8
Q5107,continent,10,3.8
Q12280,bridge,10,3.8
Q34763,peninsula,9,3.4
Q4022,river,9,3.4
Q16917,hospital,9,3.4
Q13220204,second-level administrative division,8,3.0
Q174844,megacity,7,2.7
Q2418896,part of the world,7,2.7
Q148837,polis,6,2.3
Q200250,metropolis,5,1.9
Q108178728,national capital,5,1.9
Q11514315,historical period,5,1.9
Q39816,valley,5,1.9
Q1093829,city in the United States,4,1.5
Q257391,federal capital,4,1.5
Q42744322,urban municipality in Germany,4,1.5
Q902814,border city,4,1.5
Q82794,region,4,1.5
Q208511,global city,3,1.1
Q2264924,port city,3,1.1
Q70208,Municipality of Switzerland,3,1.1
Q14770218,cantonal capital of Switzerland,3,1.1
Q1187811,college town,3,1.1
Q54935504,city of Switzerland,3,1.1
Q56061,administrative territorial entity,3,1.1
Q1066984,financial center,3,1.1
Q15284,municipality,3,1.1
Q1115575,civil parish,3,1.1
Q2198484,municipal district,3,1.1
Q60849925,municipal district in Russia,3,1.1
Q163740,nonprofit organization,3,1.1
Q751876,château,3,1.1
Q13218391,charter city,2,0.8
Q236036,republic of the Soviet Union,2,0.8
Q48349,empire,2,0.8
Q164950,dynasty,2,0.8
Q755017,tell,2,0.8
Q43702,federation,2,0.8
Q112099,island country,2,0.8
Q127693126,successor state,2,0.8
Q123480,landlocked country,2,0.8
Q1250464,realm,2,0.8
Q179164,unitary state,2,0.8
Q1422929,primate city,2,0.8
Q3350075,municipal okrug,2,0.8
Q2221906,geographic location,2,0.8
Q855697,subcontinent,2,0.8
Q67123843,town divided by border,2,0.8
Q15063611,city in the state of New York,1,0.4
Q745456,business cluster,1,0.4
Q131338872,LGBT sanctuary city,1,0.4
Q537250,federal city,1,0.4
Q1266818,independent city in the United States,1,0.4
Q21507383,provincial or territorial capital city in Canada,1,0.4
Q14762300,single-tier municipality,1,0.4
Q18810091,census division of Canada,1,0.4
Q3184121,municipality of Brazil,1,0.4
Q22674925,former settlement,1,0.4
Q1269749,very small city,1,0.4
Q134626,district capital,1,0.4
Q2039348,municipality of the Netherlands,1,0.4
Q1852859,cadastral populated place in the Netherlands,1,0.4
Q15092344,urban area in Norway,1,0.4
Q42523,atoll,1,0.4
Q18511725,market town,1,0.4
Q55116,quarter of Monaco,1,0.4
Q99324125,quarter or sector of Monaco,1,0.4
Q3559024,village of Senegal,1,0.4
Q3502482,cultural region,1,0.4
Q1620908,historical region,1,0.4
Q113393649,cratonym,1,0.4
Q1371288,vassal state,1,0.4
Q154547,duchy,1,0.4
Q43185013,maritime republic,1,0.4
Q11042,culture,1,0.4
Q12857432,Chinese dynasty,1,0.4
Q50068795,historical Chinese state,1,0.4
Q13417114,noble family,1,0.4
Q223832,dominion of the British Empire,1,0.4
Q202686,Commonwealth realm,1,0.4
Q51576574,Mediterranean country,1,0.4
Q179671,nation state,1,0.4
Q1520223,constitutional republic,1,0.4
Q5255892,democratic republic,1,0.4
Q512187,federal republic,1,0.4
Q1489259,superpower,1,0.4
Q99541706,historical unrecognized state,1,0.4
Q20181813,colonial power,1,0.4
Q165116,grand duchy,1,0.4
Q113136497,state of the German Confederation 1815–1848 & 1850–1866,1,0.4
Q63791824,country bordering the Baltic Sea,1,0.4
Q17544377,history of a country or state,1,0.4
Q7631083,administrative territorial entity of Uzbekistan,1,0.4
Q5119,capital city,1,0.4
Q5770918,city of Argentina,1,0.4
Q192611,electoral unit,1,0.4
Q475050,federal district,1,0.4
Q1094397,autonomous city,1,0.4
Q1637706,million city,1,0.4
Q15634695,special administrative area of Thailand,1,0.4
Q20724701,city or town in Armenia,1,0.4
Q14921981,administrative territorial entity of Belarus,1,0.4
Q7930989,city or town,1,0.4
Q2555896,municipality of Colombia,1,0.4
Q395994,capital district or territory,1,0.4
Q499073,direct-controlled municipality,1,0.4
Q4683538,administrative territorial entity of Niger,1,0.4
Q17524420,aspect of history,1,0.4
Q5589178,regime,1,0.4
Q19953632,former administrative territorial entity,1,0.4
Q3976643,administrative territorial entity of Rwanda,1,0.4
Q207326,summit,1,0.4
Q8072,volcano,1,0.4
Q91312,tower house,1,0.4
Q1471571,island castle,1,0.4
Q15042037,statistical territorial entity,1,0.4
Q312461,terra nullius,1,0.4
Q55833,supercontinent,1,0.4
Q42106,synonym,1,0.4
Q8036370,World Turtle,1,0.4
Q115410539,human world,1,0.4
Q211302,glacial lake,1,0.4
Q6341928,rift lake,1,0.4
Q4835091,territory,1,0.4
Q2578218,inland sea,1,0.4
Q1930585,victory column,1,0.4
Q48356,minaret,1,0.4
Q3914,school,1,0.4
Q811979,architectural structure,1,0.4
Q1544071,narrows,1,0.4
Q465299,archaeological culture,1,0.4
Q15840617,planned national capital,1,0.4
Q114496982,political city,1,0.4
Q13218382,charter city and county,1,0.4
Q3559093,sanctuary city,1,0.4
Q3301053,consolidated city-county,1,0.4
Q1901835,seat of government,1,0.4
Q1307779,integrated municipality,1,0.4
Q15974307,Unitary municipality in Germany,1,0.4
Q133442,city-state,1,0.4
Q114401982,independent city in Berlin,1,0.4
Q1221156,federated state of Germany,1,0.4
Q707813,Hanseatic city,1,0.4
Q1200957,tourist destination,1,0.4
Q102202066,Samian Ware Discovery Site,1,0.4
Q93342462,Ancient Greek archaeological site,1,0.4
Q575759,war memorial,1,0.4
Q1497375,architectural ensemble,1,0.4
Q15310171,seaport,1,0.4
Q1059324,university hospital,1,0.4
Q4287745,medical organization,1,0.4
Q64578911,former hospital,1,0.4
Q53536964,royal palace,1,0.4
Q17715832,castle ruin,1,0.4
Q3947,house,1,0.4
Q16823155,Schloss,1,0.4
Q33506,museum,1,0.4
Q1134237,royal court,1,0.4
