qid,label,source_class,source_class_label,has_coords,instance_of,instance_of_labels,subclass_of,subclass_of_labels,part_of,part_of_labels,property_count,ext_id_count,property_pids
Q60,New York City,Q515,city,yes,Q208511|Q2264924|Q1093829|Q515|Q1549591|Q51929311|Q15063611|Q200250|Q174844,global city|port city|city in the United States|city|big city|largest city|city in the state of New York|metropolis|megacity,,,,,266,170,P10|P10046|P10077|P1015|P10225|P10227|P10235|P10280|P10291|P10297|P10321|P10326|P10397|P10565|P10622|P10730|P1082|P10832|P11012|P11194|P11196|P11266|P11408|P1149|P1151|P11620|P11686|P11693|P11832|P1190|P11924|P11946|P12036|P12062|P12187|P1225|P12385|P12431|P1245|P1273|P12749|P1278|P12800|P1281|P1296|P13059|P131|P1313|P1315|P13204|P13255|P1332|P1333|P13337|P1334|P1335|P13397|P1343|P13591|P1375|P1376|P138|P13956|P13967|P13974|P14003|P1417|P1424|P1438|P1448|P1449|P1464|P1465|P150|P1538|P1539|P154|P1540|P1549|P155|P1566|P158|P1617|P163|P1667|P17|P1705|P1740|P1791|P1792|P18|P1813|P1871|P1889|P190|P1937|P194|P1943|P1968|P1997|P2044|P2046|P206|P213|P2131|P214|P2163|P2184|P227|P2347|P2390|P242|P244|P2468|P2564|P2572|P2581|P2633|P268|P269|P2716|P281|P2892|P2924|P2927|P2966|P30|P31|P3134|P3179|P3219|P3222|P3347|P3365|P3417|P3430|P3451|P349|P3500|P3529|P3553|P37|P373|P3749|P3788|P3846|P3847|P3911|P395|P3984|P402|P409|P41|P4150|P4173|P418|P421|P4212|P4223|P4272|P4291|P4342|P4527|P460|P47|P473|P486|P5008|P5019|P5063|P5125|P5247|P5252|P5337|P5357|P5551|P5573|P571|P5843|P590|P5905|P6|P6058|P610|P6104|P6200|P625|P6262|P6293|P6363|P6385|P6404|P646|P6482|P6573|P6680|P6694|P6698|P6703|P6706|P6713|P672|P6766|P6778|P6821|P6839|P6900|P691|P6987|P706|P7305|P7471|P7502|P7607|P7700|P774|P7850|P7867|P793|P797|P8034|P8138|P8168|P8179|P8189|P8217|P8246|P8313|P8402|P8406|P8408|P8519|P8520|P856|P8590|P8592|P8593|P8672|P8744|P8814|P8885|P8895|P8974|P898|P8988|P8989|P9037|P910|P9100|P9241|P9272|P9314|P9346|P935|P94|P948|P9495|P950|P9545|P9629|P9757|P982|P989|P9957|P998|P9984
Q65,Los Angeles,Q515,city,yes,Q13218391|Q1093829|Q515|Q208511|Q200250|Q174844|Q745456|Q1549591|Q131338872,charter city|city in the United States|city|global city|metropolis|megacity|business cluster|big city|LGBT sanctuary city,,,,,237,159,P10046|P10077|P10227|P10234|P10291|P10326|P1036|P10376|P10397|P10565|P10622|P10730|P10786|P1082|P10832|P11137|P11194|P11196|P1151|P11693|P11832|P11924|P12062|P12086|P12187|P1225|P12385|P12431|P1245|P12749|P1278|P12800|P1281|P1296|P13061|P131|P1313|P1315|P13204|P13337|P1343|P13591|P1375|P1376|P138|P13956|P13967|P13974|P14003|P1417|P1424|P1438|P1448|P1449|P1464|P1465|P1538|P154|P1549|P1559|P1566|P158|P1617|P1621|P163|P166|P1667|P17|P1705|P1740|P1766|P1791|P1792|P18|P1813|P1830|P1842|P1889|P190|P1937|P194|P1943|P1997|P2002|P2013|P2044|P2046|P206|P214|P2163|P2184|P227|P2347|P2390|P242|P244|P2572|P2581|P268|P269|P2716|P281|P2892|P2924|P2927|P2959|P2966|P30|P31|P3106|P3179|P3219|P3222|P3347|P3393|P3417|P3451|P349|P3553|P373|P3749|P3788|P3847|P3984|P402|P409|P41|P421|P4272|P4291|P4342|P4440|P4527|P4613|P47|P4725|P473|P4839|P486|P5008|P5019|P5063|P5247|P5337|P5357|P5456|P5573|P571|P5843|P590|P5905|P6|P6058|P6104|P6200|P625|P6265|P6293|P6385|P6404|P646|P6573|P6680|P6694|P6698|P6706|P672|P6766|P6778|P6821|P6839|P6849|P6900|P691|P7127|P7197|P7271|P7284|P7305|P7471|P7502|P7699|P7700|P774|P7850|P7867|P793|P7982|P8138|P8168|P8179|P8189|P8217|P8246|P8253|P8309|P8313|P8349|P8400|P8402|P8406|P8408|P8519|P856|P8590|P8592|P8593|P8625|P8651|P8667|P8672|P8687|P8744|P8814|P8885|P8887|P8895|P8974|P9037|P910|P9100|P9241|P9272|P9346|P935|P94|P948|P949|P9495|P950|P9545|P9629|P973|P9757|P982|P9957|P998
Q70,Bern,Q515,city,yes,Q70208|Q14770218|Q537250|Q1187811|Q54935504|Q56061|Q1549591|Q515|Q257391,Municipality of Switzerland|cantonal capital of Switzerland|federal city|college town|city of Switzerland|administrative territorial entity|big city|city|federal capital,,,Q202513,Üechtland,178,109,P10046|P10227|P10291|P1036|P10397|P10565|P1082|P10832|P10888|P11245|P11266|P1151|P11514|P11693|P11835|P1198|P12062|P12187|P1225|P1245|P1249|P12749|P12800|P13061|P131|P1313|P1325|P1329|P13372|P1343|P13591|P13606|P13731|P13740|P13750|P1376|P13835|P1417|P1435|P1448|P1456|P1464|P1465|P150|P1549|P1566|P1617|P163|P1667|P17|P1705|P1791|P1792|P18|P1871|P1889|P190|P1937|P1997|P2002|P2003|P2013|P2044|P2046|P206|P213|P214|P2163|P2184|P227|P2347|P2354|P2397|P242|P244|P2581|P269|P271|P2716|P281|P2924|P2966|P30|P31|P3134|P3219|P3222|P3241|P3365|P3417|P3451|P3500|P361|P37|P373|P3749|P3761|P395|P3984|P402|P4080|P41|P421|P4223|P4264|P4342|P443|P4613|P4619|P463|P4672|P47|P473|P4829|P485|P5008|P5019|P5063|P5252|P5436|P5573|P571|P5843|P6|P6144|P625|P6404|P646|P6573|P6621|P6698|P6706|P6766|P6778|P6821|P691|P7197|P7305|P7666|P771|P7850|P7867|P7960|P8168|P8179|P8189|P8253|P8313|P8406|P8519|P856|P8590|P8592|P8593|P8687|P8714|P8744|P8814|P8974|P902|P9037|P910|P9100|P9223|P935|P937|P94|P948|P949|P9495|P973|P9748|P9809|P982|P9850|P9957|P9964|P998
Q84,London,Q515,city,yes,Q200250|Q1066984|Q515|Q208511|Q174844|Q51929311|Q108178728,metropolis|financial center|city|global city|megacity|largest city|national capital,,,,,237,171,P10|P10046|P10077|P10227|P10234|P10291|P10321|P10326|P1036|P10376|P10397|P10730|P1082|P10832|P11012|P11137|P11386|P11408|P1151|P11620|P11632|P11686|P11693|P11762|P11764|P11765|P11832|P11924|P11946|P11947|P12062|P12086|P12098|P12143|P12187|P1225|P12385|P1245|P12466|P12749|P12800|P1281|P1296|P13061|P131|P1313|P13204|P13364|P1343|P13591|P1376|P13796|P13835|P1417|P1438|P1448|P1464|P1465|P1549|P1566|P1581|P1617|P1621|P166|P1667|P17|P1705|P1740|P1791|P1792|P18|P1842|P1889|P190|P1936|P1937|P1943|P1997|P2002|P2003|P2013|P2041|P2044|P2046|P206|P214|P2163|P2184|P227|P2326|P2347|P238|P242|P244|P2468|P2572|P2581|P2633|P268|P269|P2716|P281|P2892|P2924|P2966|P300|P31|P3106|P3120|P3134|P3219|P3222|P3241|P3348|P3417|P3451|P3479|P349|P3509|P3553|P3615|P3616|P37|P373|P3749|P3847|P3911|P3984|P402|P4073|P409|P421|P4291|P4342|P443|P4613|P4619|P463|P4640|P4672|P47|P473|P486|P5008|P5019|P5063|P5125|P5247|P5357|P5437|P5456|P5573|P571|P5737|P5739|P5843|P5905|P6|P6058|P610|P6104|P6200|P625|P6262|P6293|P6363|P6385|P6404|P646|P6573|P6621|P6698|P672|P6766|P6821|P6839|P6849|P6900|P691|P6987|P7039|P706|P7197|P7305|P7502|P7562|P7666|P7846|P7850|P7867|P7870|P793|P7959|P7982|P8168|P8189|P8217|P8309|P8313|P8349|P8402|P8406|P8519|P856|P8590|P8592|P8593|P8672|P8687|P8744|P8814|P8826|P8885|P8974|P902|P9037|P910|P9100|P9223|P9241|P9293|P9314|P9318|P9346|P935|P9368|P9466|P948|P9495|P950|P9629|P9757|P982|P9937|P9957|P998|P9984
Q87,Alexandria,Q515,city,yes,Q2264924|Q15284|Q1549591|Q148837|Q515,port city|municipality|big city|polis|city,,,Q463871,Lower Egypt,154,104,P10046|P10326|P1036|P10397|P10565|P1082|P10832|P11518|P11693|P11729|P11832|P12062|P12086|P12187|P1225|P12385|P1245|P1249|P12749|P12800|P1296|P13061|P131|P13279|P1343|P13591|P13750|P1376|P138|P13906|P1417|P1424|P1435|P1438|P1448|P1464|P1465|P1481|P1549|P1566|P1584|P1617|P1667|P17|P1705|P1791|P1792|P18|P1889|P190|P1936|P1937|P1958|P1997|P2044|P2046|P213|P214|P2163|P2184|P227|P2347|P242|P244|P2581|P2614|P268|P269|P281|P2924|P30|P3065|P31|P3134|P3219|P3241|P3365|P3417|P3451|P349|P361|P37|P373|P3749|P41|P4171|P421|P4223|P4272|P4291|P4342|P4619|P463|P473|P5002|P5008|P5019|P5063|P5573|P571|P5905|P6104|P6200|P625|P6293|P6404|P646|P6706|P6766|P6821|P691|P706|P7305|P7314|P7562|P7699|P7867|P793|P7960|P8068|P8168|P8189|P8309|P8313|P84|P8406|P8519|P856|P8593|P8636|P8814|P8826|P8885|P9000|P9037|P9069|P910|P9100|P9106|P9223|P935|P94|P948|P949|P9495|P950|P9629|P9736|P9765|P9809|P982|P9850|P9957|P998
Q88,Alexandria,Q515,city,yes,Q1266818|Q515,independent city in the United States|city,,,Q97672598,Arlington–Alexandria–Reston metropolitan division,123,80,P10046|P10326|P1036|P10622|P10730|P1082|P10832|P11245|P11247|P1149|P11693|P1225|P12385|P12749|P1281|P1296|P131|P1313|P1343|P13440|P13591|P138|P1417|P1448|P1464|P1465|P1538|P1566|P158|P1667|P17|P1705|P1792|P18|P1889|P190|P1937|P1968|P1997|P2002|P2013|P2044|P2046|P206|P213|P214|P2163|P2184|P227|P2390|P2397|P242|P244|P2581|P268|P269|P281|P2927|P2959|P31|P3134|P3347|P3417|P3500|P361|P37|P373|P3749|P3847|P402|P41|P4173|P421|P4272|P47|P473|P4839|P5019|P5337|P5436|P5573|P571|P590|P6|P625|P6265|P646|P648|P6766|P6778|P6821|P691|P7197|P7305|P7471|P7502|P7700|P774|P7867|P8119|P8138|P8168|P8189|P8246|P8309|P8313|P8400|P8402|P8424|P856|P8714|P882|P8988|P9037|P910|P948|P949|P950|P9807|P982|P9885|P9957|P998
Q172,Toronto,Q515,city,yes,Q515|Q21507383|Q14762300|Q1549591|Q51929311|Q1066984|Q18810091,city|provincial or territorial capital city in Canada|single-tier municipality|big city|largest city|financial center|census division of Canada,,,,,215,137,P10|P10046|P10235|P10291|P10326|P1036|P10397|P10652|P10730|P1082|P10832|P11012|P11137|P112|P1151|P11832|P11892|P11924|P11947|P12062|P12086|P12187|P1225|P12280|P12361|P12385|P1245|P12749|P12800|P1296|P1299|P13061|P131|P1313|P1315|P13239|P1332|P1333|P1334|P1335|P1343|P13591|P1375|P13750|P1376|P138|P13906|P1417|P1438|P1448|P1451|P1464|P1465|P154|P1549|P1566|P1617|P1621|P163|P1667|P17|P1705|P1740|P1791|P1792|P18|P1830|P1842|P1871|P1889|P190|P1937|P194|P1943|P1997|P2002|P2003|P2013|P2037|P2044|P2046|P206|P213|P214|P2163|P2250|P227|P2347|P237|P238|P2397|P242|P244|P2564|P2581|P2633|P268|P269|P2716|P276|P281|P2924|P2984|P30|P3012|P31|P3106|P3134|P3219|P3222|P3241|P3267|P3348|P3417|P3451|P349|P3500|P3553|P3633|P37|P373|P3749|P3847|P3984|P4004|P402|P4073|P409|P41|P4173|P421|P4264|P4291|P4342|P443|P4527|P47|P473|P4839|P485|P5008|P5019|P5063|P5247|P5252|P5337|P5395|P5573|P5587|P571|P6|P6058|P6200|P625|P6262|P6293|P6404|P646|P6621|P6698|P6706|P6766|P6778|P6839|P691|P7084|P7197|P7284|P7305|P7471|P7700|P7867|P7982|P8168|P8179|P8189|P821|P8253|P8256|P8309|P8313|P8349|P8400|P8402|P8406|P8519|P856|P8592|P8672|P8687|P8744|P8814|P8895|P898|P8988|P9037|P906|P910|P9100|P9223|P9241|P935|P94|P948|P9495|P950|P9629|P9757|P9807|P982|P9885|P989|P9943|P9957|P998
Q174,São Paulo,Q515,city,yes,Q3184121|Q51929311|Q1549591|Q174844|Q515,municipality of Brazil|largest city|big city|megacity|city,,,Q1415666|Q175|Q744763,Greater São Paulo|São Paulo|São Paulo metropolitan area,150,84,P10|P1005|P10227|P10297|P10376|P10397|P1081|P1082|P10832|P1151|P11832|P11924|P1207|P1225|P12385|P1245|P1249|P12749|P12800|P1296|P13061|P131|P1313|P1343|P13591|P1376|P138|P1417|P1438|P1448|P1464|P1465|P150|P1549|P1566|P1585|P1617|P1621|P163|P1667|P17|P1705|P1740|P1791|P1792|P18|P1831|P1889|P190|P1937|P194|P1943|P1997|P2002|P2013|P2044|P2046|P206|P213|P214|P2163|P2184|P227|P2326|P2347|P237|P238|P242|P244|P2572|P2581|P268|P269|P2716|P281|P2924|P30|P31|P3219|P3222|P3348|P3417|P3451|P349|P361|P373|P3749|P3984|P402|P409|P41|P421|P4291|P4342|P443|P4527|P4619|P47|P473|P5008|P5019|P5063|P5337|P5573|P5587|P571|P5843|P6|P610|P6200|P625|P6404|P646|P6555|P6573|P6698|P6766|P691|P7305|P7471|P7506|P7699|P7867|P8119|P8168|P8179|P8189|P8313|P8406|P85|P8519|P856|P8592|P8687|P8744|P898|P9037|P906|P910|P9223|P935|P94|P948|P9495|P950|P9629|P982|P9957|P9964|P9984
Q216,Vilnius,Q515,city,yes,Q515|Q1549591,city|big city,,,,,170,112,P1017|P10280|P10321|P1036|P10397|P10565|P1082|P10832|P11012|P11245|P11693|P12062|P12086|P12187|P12385|P1245|P1249|P12749|P12800|P1281|P1296|P13061|P131|P1313|P13337|P1343|P13591|P1368|P1375|P1376|P138|P13835|P1417|P1438|P1441|P1448|P1451|P1464|P1465|P154|P1549|P1566|P1617|P163|P166|P1667|P17|P1705|P1791|P1792|P18|P1871|P1889|P190|P1937|P1997|P2003|P2013|P2044|P2046|P206|P214|P2163|P2184|P227|P2347|P237|P2397|P242|P244|P2581|P268|P269|P2716|P281|P2924|P30|P31|P3134|P3198|P3219|P3222|P3365|P3403|P3417|P3451|P373|P3749|P3788|P3984|P402|P41|P4173|P421|P4223|P4264|P4272|P4342|P4527|P4613|P463|P4672|P473|P4839|P5008|P5019|P5063|P5252|P5337|P5436|P5573|P5587|P571|P6|P6200|P625|P6293|P646|P6482|P6573|P6621|P6706|P6766|P6778|P6821|P691|P7084|P7197|P7293|P7305|P7502|P7666|P7699|P7700|P7867|P7982|P8034|P8168|P8179|P8189|P8313|P8349|P8402|P8406|P8519|P856|P8569|P8593|P8744|P8814|P8935|P8989|P9037|P906|P910|P9100|P9223|P9241|P935|P94|P948|P949|P9495|P9498|P950|P9545|P9757|P982|P9957|P998
Q226,Nuuk,Q515,city,yes,Q515|Q51929311,city|largest city,,,Q695387,Sermersooq,88,49,P1036|P1082|P10832|P11693|P1225|P12385|P12749|P12800|P1296|P13061|P131|P1343|P13526|P13591|P1376|P13873|P1417|P1448|P1464|P1465|P1566|P1617|P17|P1705|P1792|P18|P1830|P1871|P190|P1997|P2044|P2046|P214|P2163|P227|P2347|P237|P242|P244|P269|P281|P31|P3134|P3417|P3451|P361|P37|P373|P41|P421|P4342|P443|P473|P5008|P5019|P5252|P5573|P571|P5843|P6|P625|P6262|P6265|P646|P6766|P6849|P7039|P7197|P7284|P7305|P7502|P8168|P8179|P8189|P8309|P8313|P8519|P856|P8592|P8744|P910|P935|P94|P948|P949|P982|P9937|P998
