child_lcsh_id,parent_lcsh_id
sh2009006799,sh2020000052
sh85004336,sh85140372
sh85006306,sh85119961
sh85006314,sh92005350
sh85006314,sh85090516
sh85006314,sh92006288
sh85006333,sh85006314
sh85008742,sh85065698
sh85008742,sh85011526
sh85008742,sh85013560
sh85008742,sh85064932
sh85010772,sh85036481
sh92005509,sh85015918
sh92005509,sh85030761
sh92005509,sh85130598
sh85017454,sh85112599
sh85018133,sh85135233
sh85022218,sh85080259
sh85024301,sh85122925
sh85025009,sh85005757
sh85025009,sh85013580
sh85134665,sh85025219
sh85035731,sh85117963
sh85040106,sh85054438
sh85040468,sh92004048
sh85040468,sh89005705
sh85040605,sh85025193
sh85041367,sh98004353
sh85043413,sh85054438
sh85043929,sh85054442
sh85043777,sh85016973
sh85051829,sh85114953
sh85051865,sh89004004
sh85054365,sh85054438
sh85054411,sh85054442
sh85054380,sh89006411
sh85054413,sh85054380
sh85054723,sh85031235
sh85054723,sh85041430
sh85054723,sh85072732
sh85054723,sh85099708
sh85054723,sh85108459
sh85054723,sh85120047
sh85057151,sh85026704
sh85057151,sh85065703
sh85022551,sh85021130
sh85022551,sh85022543
sh85059867,sh85013674
sh85059867,sh85070422
sh85059867,sh85119966
sh88000222,sh85029534
sh2013000266,sh85029513
sh85068397,sh85040989
sh85100934,sh85100864
sh85074944,sh85026704
sh85074944,sh85068863
sh85080966,sh95009606
sh85081990,sh85036481
sh85081991,sh85018279
sh85081991,sh85036481
sh85090702,sh2011005559
sh85090702,sh85148550
sh85097195,sh85065695
sh85097195,sh85064932
sh85100070,sh85067921
sh85097451,sh85064932
sh85097451,sh85065698
sh85097144,sh85097126
sh85114953,sh85068863
sh85115040,sh85011205
sh85115040,sh2012000320
sh85115971,sh85123367
sh85117331,sh85065695
sh2002000569,sh2004000479
sh2002000569,sh92004914
sh2002000569,sh95000541
sh2004000479,sh88000222
sh2004000479,sh2009007899
sh85119961,sh85002020
sh85122803,sh85065698
sh85123361,sh85065703
sh85126261,sh85114953
sh85126268,sh92005334
sh85139700,sh85080966
sh97003561,sh85029535
sh97003561,sh2012003486
sh97003561,sh96004653
sh95000541,sh88002671
sh95000541,sh92002381
sh85149236,sh85013182
sh85149236,sh85073531
sh85149236,sh85091879
sh85036481,sh85135657
sh85000405,sh85107253
sh85000411,sh85018260
