master_id,master_id_type,master_label,item_count,discipline_count,major_count
sh2009006799,lcsh_id,3D printing,1,1,0
sh85001992,lcsh_id,African American studies,1,0,1
sh85007528,lcsh_id,African art,1,0,1
sh85001733,lcsh_id,African literature,1,0,1
4122766-9,gnd_id,African studies,1,0,1
sh85065315,lcsh_id,American Indian law,1,1,0
sh85004336,lcsh_id,American literature,1,0,1
427.973,ddc,American studies,2,0,2
480,ddc,Ancient Greek,1,0,1
sh85006306,lcsh_id,Arabic,1,0,1
sh86000279,lcsh_id,Arabic grammar,1,0,1
sh85006314,lcsh_id,Arabic literature,1,0,1
892.7,ddc,Arabic studies,1,1,0
sh85008742,lcsh_id,Assamese,1,0,1
sh85008834,lcsh_id,Assyriology,1,0,1
4143942-9,gnd_id,Balkan studies,1,1,0
sh92005509,lcsh_id,Bose–Einstein condensate,1,0,1
7503210-7,gnd_id,British literature,1,0,1
sh85017454,lcsh_id,Buddhism,1,0,1
4755247-5,gnd_id,Buddhist studies,1,0,1
4146908-2,gnd_id,Bulgarian studies,1,1,0
sh85018133,lcsh_id,Burmese,1,0,1
sh85018523,lcsh_id,Byzantine studies,1,0,1
427.971,ddc,Canadian studies,1,0,1
4249908-2,gnd_id,Catalan philology,1,0,1
4030005-5,gnd_id,Catholic theology,1,0,1
4163569-3,gnd_id,Celtic studies,1,0,1
sh85022218,lcsh_id,Cetacea,1,0,1
sh85024301,lcsh_id,Chinese,1,0,1
sh85025009,lcsh_id,Christian archaeology,1,0,1
sh85134665,lcsh_id,Christian theology,1,1,0
n50051357,lcsh_id,Clarice Lispector,1,0,1
4186370-7,gnd_id,Czech studies,1,1,0
sh85035731,lcsh_id,Danish,1,0,1
sh85040106,lcsh_id,Dutch,1,0,1
4283850-2,gnd_id,Dutch studies,1,0,1
sh85040468,lcsh_id,Earth science,1,1,0
4312428-8,gnd_id,East Asian studies,1,1,0
sh85040605,lcsh_id,Eastern Christianity,1,0,1
n79099715,lcsh_id,Economics,1,0,1
sh85041367,lcsh_id,Egyptology,1,0,1
sh85043413,lcsh_id,English,1,0,1
sh85043929,lcsh_id,English studies,1,0,1
sh85043777,lcsh_id,English-language literature,1,0,1
4474210-1,gnd_id,EuroVoc,1,1,0
sh2009129017,lcsh_id,European Union law,1,0,1
4078937-8,gnd_id,European ethnology (Volkskunde),1,1,0
sh85051829,lcsh_id,French,1,0,1
7503327-6,gnd_id,French language studies,1,0,1
sh85051865,lcsh_id,French literature,1,0,1
001.3,ddc,Geisteswissenschaften,1,1,0
sh85054365,lcsh_id,German,1,0,1
sh85054411,lcsh_id,German philology,1,0,1
193,ddc,German philosophy,1,0,1
830,ddc,German studies,1,0,1
sh85054380,lcsh_id,German-language literature,1,0,1
sh85054442,lcsh_id,Germanic philology,1,0,1
sh85054723,lcsh_id,Gestalt psychology,1,0,1
sh85057151,lcsh_id,Greek,1,0,1
sh85057184,lcsh_id,Greek studies,1,0,1
sh85022551,lcsh_id,Gregorian chant,1,0,1
sh85059867,lcsh_id,Hebrew,1,0,1
7620854-0,gnd_id,Hellenic studies,1,0,1
4025226-7,gnd_id,Higher Education Teaching,1,0,1
4462513-3,gnd_id,IPv6,1,1,0
sh85065705,lcsh_id,Indo-European studies,1,0,1
491.1,ddc,Indology,1,1,0
sh88000222,lcsh_id,Integrated software,1,1,0
sh2013000266,lcsh_id,Internet of things,1,1,0
sh85067916,lcsh_id,Iranian studies,1,1,0
sh85068397,lcsh_id,Islamic education,1,0,1
sh85100934,lcsh_id,Islamic philosophy,1,0,1
sh85068408,lcsh_id,Islamic studies,2,2,0
sh85068840,lcsh_id,Italian philology,1,1,0
850,ddc,Italian studies,1,0,1
306.0952,ddc,Japanese studies,1,0,1
sh85070866,lcsh_id,Jewish studies,1,1,0
7705503-2,gnd_id,LGBTQ,1,1,0
sh85074944,lcsh_id,Latin,1,0,1
4166851-0,gnd_id,Latin studies,1,0,1
4131946-1,gnd_id,Lehramtsstudium,1,0,1
4656569-3,gnd_id,Lithuanian studies,1,0,1
sh85080966,lcsh_id,MARC standards,1,1,0
004.62,ddc,MQTT,1,1,0
4104524-5,gnd_id,Maithili,1,0,1
4191461-2,gnd_id,Metallplastik,1,0,1
sh85090514,lcsh_id,Middle Eastern studies,1,1,0
sh85057166,lcsh_id,Modern Greek,1,0,1
4170448-4,gnd_id,Mongolian studies,1,0,1
300042085,aat_id,Mvet,1,0,1
sh85090702,lcsh_id,Nematoda,1,0,1
n79023150,lcsh_id,New Testament,1,0,1
494.35,ddc,Ottoman studies,1,0,1
sh85097195,lcsh_id,Pali,1,0,1
sh85100070,lcsh_id,Persian,1,0,1
sh85107714,lcsh_id,Protestant theology,1,0,1
sh85097451,lcsh_id,Punjabi,1,0,1
n79139448,lcsh_id,Purana,1,0,1
381,ddc,Q1147173,1,1,0
sh85097144,lcsh_id,Quaternary,1,0,1
sh85114953,lcsh_id,Romance languages,1,0,1
sh85114963,lcsh_id,Romance studies,1,0,1
sh85115040,lcsh_id,Romanian literature,1,0,1
n79018704,lcsh_id,Rome,1,0,1
sh85115971,lcsh_id,Russian,1,0,1
sh85116004,lcsh_id,Russian philology,1,0,1
sh85117331,lcsh_id,Sanskrit,1,0,1
4077478-8,gnd_id,Scandinavian studies,1,0,1
4124150-2,gnd_id,Schulmusik (Studienfach),1,0,1
sh2002000569,lcsh_id,Semantic Web,1,1,0
sh2004000479,lcsh_id,Semantic integration,1,1,0
sh85119961,lcsh_id,Semitic,1,0,1
4180975-0,gnd_id,Semitic studies,1,1,0
sh85120203,lcsh_id,Serbo-Croatian studies,1,0,1
sh88004780,lcsh_id,Sharia-compliant banking,1,0,1
sh85122803,lcsh_id,Sindhi,1,0,1
sh85123361,lcsh_id,Slavic,1,0,1
491.8,ddc,Slavic studies,1,1,0
sh89003685,lcsh_id,South Asian languages,1,1,0
sh85126261,lcsh_id,Spanish,1,0,1
sh85126268,lcsh_id,Spanish literature,1,0,1
1137266,fast_id,Sufi psychology,1,0,1
7635239-0,gnd_id,Tibetologist,1,0,1
4278702-6,gnd_id,Tibetology,1,0,1
sh85138870,lcsh_id,Turkology,1,0,1
sh85139700,lcsh_id,UNIMARC,1,1,0
sh97003561,lcsh_id,Unified Modeling Language,1,1,0
n83007526,lcsh_id,Universidade de Passo Fundo,1,0,1
n80020526,lcsh_id,Upanishads,1,0,1
sh85142464,lcsh_id,Vedas,1,0,1
4830608-3,gnd_id,West Slavic Studies,1,1,0
sh95000541,lcsh_id,World Wide Web,1,1,0
4162748-9,gnd_id,Yiddish studies,1,0,1
sh85149236,lcsh_id,Yoruba,1,0,1
4191666-9,gnd_id,abstract entity,1,1,0
sh85036481,lcsh_id,academic degree,1,1,0
sh85141103,lcsh_id,academic discipline,1,1,0
sh85000411,lcsh_id,accounting,1,0,1
4069455-0,gnd_id,accounting studies,1,0,1
sh85125404,lcsh_id,acoustic wave,1,1,0
sh2002006100,lcsh_id,acoustics,1,1,0
sh85039329,lcsh_id,acting,1,0,1
4058882-8,gnd_id,activity,1,1,0
sh00005896,lcsh_id,adaptive radiation therapy,1,0,1
sh85000898,lcsh_id,administration,1,1,0
sh85000913,lcsh_id,administrative law,1,0,1
sh85000969,lcsh_id,adolescent psychology,1,1,0
sh85001028,lcsh_id,adult education,1,0,1
sh85001086,lcsh_id,advertising,1,0,1
sh85001295,lcsh_id,aerodynamics,1,0,1
sh85001319,lcsh_id,aeronautics,1,0,1
sh85001441,lcsh_id,aesthetics,1,1,0
4040808-5,gnd_id,aesthetics of music,1,0,1
sh85029049,lcsh_id,agricultural communication,1,0,1
sh85002427,lcsh_id,agricultural economics,1,1,0
sh85002310,lcsh_id,agricultural education,1,0,1
sh85002298,lcsh_id,agricultural extension,1,0,1
sh85002484,lcsh_id,agricultural policy,1,1,0
sh86001792,lcsh_id,agricultural science,1,1,0
sh85002415,lcsh_id,agriculture,1,0,1
sh85002307,lcsh_id,agroecology,1,1,0
sh85084356,lcsh_id,agrometeorology,1,1,0
sh91006254,lcsh_id,agronomy,1,1,0
sh2005003172,lcsh_id,algal ecology,1,1,0
sh85003425,lcsh_id,algebra,1,1,0
sh85054140,lcsh_id,algebraic geometry,1,0,1
sh85003487,lcsh_id,algorithm,1,1,0
