id,label,federation,domain,uri,spatial_anchor,temporal_start,temporal_end,authority_id,source,spatial_coverage_description,spatial_coverage_uris
p0f65r2v4dw,Hellenistic,periodo,roman_republic,https://n2t.net/ark:/99152/p0f65r2v4dw,http://www.wikidata.org/entity/Q801,-331,-52,p0f65r2,p0f65r2,Levant,http://www.wikidata.org/entity/Q801|http://www.wikidata.org/entity/Q79|http://www.wikidata.org/entity/Q810|http://www.wikidata.org/entity/Q822|http://www.wikidata.org/entity/Q858|http://www.wikidata.org/entity/Q229|http://www.wikidata.org/entity/Q43
p0f65r2s5gc,Persian,periodo,roman_republic,https://n2t.net/ark:/99152/p0f65r2s5gc,http://www.wikidata.org/entity/Q801,-538,-331,p0f65r2,p0f65r2,Levant,http://www.wikidata.org/entity/Q801|http://www.wikidata.org/entity/Q79|http://www.wikidata.org/entity/Q810|http://www.wikidata.org/entity/Q822|http://www.wikidata.org/entity/Q858|http://www.wikidata.org/entity/Q229|http://www.wikidata.org/entity/Q43
p0mn2ndvn8j,Roman Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2ndvn8j,http://www.wikidata.org/entity/Q34374,-100,399,p0mn2nd,p0mn2nd,Crete,http://www.wikidata.org/entity/Q34374
p0mn2ndq6bv,Hellenistic Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2ndq6bv,http://www.wikidata.org/entity/Q34374,-323,-101,p0mn2nd,p0mn2nd,Crete,http://www.wikidata.org/entity/Q34374
p0mn2nddc8k,Archaic Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2nddc8k,http://www.wikidata.org/entity/Q34374,-700,-481,p0mn2nd,p0mn2nd,Crete,http://www.wikidata.org/entity/Q34374
p0mn2ndtsjq,Classical Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2ndtsjq,http://www.wikidata.org/entity/Q34374,-480,-324,p0mn2nd,p0mn2nd,Crete,http://www.wikidata.org/entity/Q34374
p0mn2ndp7wn,Early Roman Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0mn2ndp7wn,http://www.wikidata.org/entity/Q34374,-100,249,p0mn2nd,p0mn2nd,Crete,http://www.wikidata.org/entity/Q34374
p0qk76zbv62,Roman,periodo,roman_republic,https://n2t.net/ark:/99152/p0qk76zbv62,http://www.wikidata.org/entity/Q79,-29,394,p0qk76z,p0qk76z,,http://www.wikidata.org/entity/Q79
p0qk76zgqb7,Persian Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0qk76zgqb7,http://www.wikidata.org/entity/Q79,-524,-401,p0qk76z,p0qk76z,,http://www.wikidata.org/entity/Q79
p0qk76znjhp,Second Persian Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0qk76znjhp,http://www.wikidata.org/entity/Q79,-342,-331,p0qk76z,p0qk76z,,http://www.wikidata.org/entity/Q79
