qid,P214,P213,P244,P2163,P227,P268,P349,P648,P1711,P245,P4212,P9106,P11252,P7041,P535,P1149
Q109385659,6350164913201818980008,,,,125463584X,,,,,,,,,,,
Q109495872,3783155953623342630007,,,,118754390X,,,,177815,,,,,,,
Q102417058,6904155566490813380003,,,,1183434995,,,,174500,,,,,,,
Q102423647,6547155566442713380002,,,,1183435037,,,,175364,,,,,,,
Q105533524,,,,,,,,,174770,,,,,,,
Q106223471,1952155566430613380002,,,,1183430248,,,,175255,,,,,,,
Q106224097,6851155832950433490003,,,,1186415517,,,,99353,,,,,,,
Q106224722,305159474193227661980,,,,,,,,,,,,,,,
Q106225817,5113155832946733490006,,,,1186415738,,,,175790,,,,,,,
Q106303481,3130155832942633490008,,,,1186418796,,,,177542,,,,,,,
Q106371629,308716524,,,,1051228212,,,,,,,,,,,
Q106420087,464155708711422580003,,,,1185216049,,,,175409,,,,,,,
Q106982416,5155595642815291134,,,,1183964781,,,,99295,,,,,,,
Q107111797,,,,,,,,,174406,,,,,,,
Q107241863,12677035,0000000083578481,,,,,,,,,,,,,,
Q107297013,3757155919265439730000,,,,1187000302,,,,93831,,,,,,,
Q107405883,7562155708705422580000,,,,1185208348,,,,176890,,,,,,,
Q108650712,301685559,,,,,,,,,,,,782,,,
Q1048,96230682,0000000382473815,n79021400,31693,118518275,11894764p,00435043,OL7178325A,58909,500077373,pcrtr5oYOj7OBr,3394,168,296,7181,DG261-DG267
Q100487,37722458,0000000061525346,nr95037775,363750,119250217,14533519q,,OL1140922A,,,,,,,,
Q101465,69843201,0000000109131814,n83132168,,12374203X,,00551706,OL4278459A,,,,,,,,
Q102542,57377808,0000000081370193,n89667996,,116876352,,,OL165000A,,,,,,,,
Q103313,130952398,0000000122181525,no99089756,,133935906,,,OL6566034A,,,,,,,,
Q103333,1833159474220427661978,0000000061475764,n84095996,1838877,118735942,,,,,,,4514,,,,
Q103404,3266988,0000000078212135,nb2007020820,1840486,118789880,,,,,,,,,,8821697,
Q105452,198696948,0000000078221453,n91121825,1830584,119080419,12415734s,,,142866,,pcrtpVd50gKSqn,115,,,,
Q106026,12404999,0000000090617215,n82045062,1805113,118645781,12461403r,,,139693,,pcrtdO9ISiLZkS,774,104,,,
Q106820,57391958,0000000082395771,nr2001024687,464994,11743244X,,,OL5958217A,,,,,,,81503598,
Q108812,49971595,0000000109699290,no2019071348,,116234989,,,,,,,,,,,
Q109594,1018158188256520260005,0000000121452020,n50004515,1112,118747681,11985468f,00515218,OL477937A,163453,,pcrtj57abiieSj,1860,204,968,,
Q1071031,55600856,0000000025272580,n85265403,,1121469620,,,,,,,,,,,
Q1077925,67258140,,,,118602624,,,,153980,,,5614,,,,
Q1097304,1708171732600609080009,,,,1330443942,,,,177860,,,,,,,
Q1098169,480166656941822710002,,,,1270683837,,,,,,,,,,,
Q1102155,291313803,0000000373535885,n92076561,1812940,118676458,,,,,,pcrtzD5wqsHLaH,1684,1333,,,
Q10282226,263695047,0000000386796347,no2015025983,,1026264863,,,,,,,,,,,
Q10379548,306140943,,,,1053643225,,,,,,,,,,,
Q10710533,102487473,0000000082858625,n84088619,1461917,134880617,,,OL251329A,,,,,,,,
Q10853859,83716609,0000000056669820,,,,,,,,,,,,,,
Q10856346,34491634,0000000092219632,n86003688,180542,11638767X,12131604h,,,,,,,,,,
Q10859142,77744775,0000000055628306,n85102383,,,,,OL1142329A,,,,,,,,
Q11017318,,,,,,,,,,,,,8172,,,
Q11019666,,,,,,,,,,,,3905,,,,
Q11020493,,,,,,,,,,,,5911,,,,
Q117821700,8843155832954533490001,,,,1186417927,,,,175257,,,,,,,
Q117821724,4494155832966433490007,,,,1186417668,,,,177485,,,,,,,
Q117821758,2570155832941433490003,,,,1186418451,,,,176197,,,,,,,
Q118213410,1701155566454813380000,,,,1183434731,,,,94475,,,,,,,
Q118910210,7220155832951133490001,,,,1186418680,,,,93826,,,,,,,
Q118910706,2143155832940633490002,,,,1186418915,,,,94516,,,,,,,
Q118918101,9163155832955233490005,,,,1186416513,,,,177185,,,,,,,
Q11860,84210432,000000012141709X,n88025039,227763,118945920,12433577f,001287950,OL2483759A,,,,,,,255353628,
Q111355,59842899,0000000010353126,no2013049264,,116718706,,,OL6641719A,,,,,,,,
Q113493,46942340,0000000108964144,no2006042587,,116065311,13756095s,,OL4275116A,,,,,,,,
Q1115859,9158628165022921550,,,,1207494720,,,,58660,,,3154,,,,
Q1159576,,,,,,,,,,,,106,,,,
Q1159616,9697158491050011920002,,,,,,,,,,,,6136,1249,,
Q1159623,28527368,0000000028598594,n85310229,1818635,123717280,,,,,,,6674,,,,
Q1164993,14663071,0000000052382478,nr95037505,,102394245,,,,,,,3444,4958,1928,,
Q1181859,2616159477593627990003,0000000121286915,nr95038999,1829653,118778323,13483662v,,OL6732117A,,,,3543,4799,805,,
Q1181860,,,,,,,,,178049,,,,,,,
Q11035375,309634632,,,,174392133,,,,,,,,8171,,,
Q11058176,419155598029815600008,,,,1183965478,,,,177177,,,,,,,
Q11058232,1116155566424713380002,,,,1183432100,,,,175980,,,,,,,
Q11059583,83836251,0000000056336073,,,,,,,,,,,,,,
Q11065307,2842899,0000000055259221,no2016127823,,1077843259,,,,,,,,,,,
Q11212656,,,,,,,,,177101,,,,6105,,,
Q11217886,31718558,0000000110511849,no2004121094,,,,,OL5444778A,,,,,,,,
Q11220660,83759625,0000000120296046,,,1012833151,,,,,,,,,,,
Q11241698,,,,,,,,,175738,,,,,,,
Q11302959,,,,,,,,,177692,,,,,,,
Q11312209,3141155708696522580006,,,,1185195955,,,,175406,,,,,,,
Q11472936,,,,,,,,,,,,5203,,,,
Q11735670,83798904,0000000058275227,,,1017151512,,,,,,,,,,,
