period,periodLabel,start,end,instanceOf,instanceOfLabel,subclassOf,subclassOfLabel,partOf,partOfLabel
http://www.wikidata.org/entity/Q23579307,Boring Billion,-1800000000-01-01T00:00:00Z,-800000000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q104162,Proterozoic
http://www.wikidata.org/entity/Q840828,Variscan orogeny,-380000000-01-01T00:00:00Z,-280000000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,http://www.wikidata.org/entity/Q184554,orogeny,,
http://www.wikidata.org/entity/Q5051092,cat gap,-25000000-01-01T00:00:00Z,-18500000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q7463501,Lower Paleolithic,-3300000-01-01T00:00:00Z,-300000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q40203,Paleolithic
http://www.wikidata.org/entity/Q1277529,Early Stone Age,-2500000-01-01T00:00:00Z,-130000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,,
http://www.wikidata.org/entity/Q1931902,Middle Stone Age,-278000-01-01T00:00:00Z,-35500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,,
http://www.wikidata.org/entity/Q626270,Middle Paleolithic,-300000-01-01T00:00:00Z,-30000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q40203,Paleolithic
http://www.wikidata.org/entity/Q756905,Gravettian,-33000-01-01T00:00:00Z,-22000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q479505,Upper Paleolithic
http://www.wikidata.org/entity/Q844172,Japanese Paleolithic,-43000-01-01T00:00:00Z,-14500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q40203,Paleolithic
http://www.wikidata.org/entity/Q40203,Paleolithic,-3300000-01-01T00:00:00Z,-13000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q11759,Stone Age
http://www.wikidata.org/entity/Q40203,Paleolithic,-3300000-01-01T00:00:00Z,-13000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q11759,Stone Age
http://www.wikidata.org/entity/Q693549,Magdalenian,-15000-01-01T00:00:00Z,-10000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q479505,Upper Paleolithic
http://www.wikidata.org/entity/Q3236732,"100,000-10,000 BCE",-100000-01-01T00:00:00Z,-10000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q829005,Epipaleolithic,-14000-01-01T00:00:00Z,-8000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q40203,Paleolithic
http://www.wikidata.org/entity/Q479505,Upper Paleolithic,-48000-01-01T00:00:00Z,-7700-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q40203,Paleolithic
http://www.wikidata.org/entity/Q479505,Upper Paleolithic,-38000-01-01T00:00:00Z,-7700-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q40203,Paleolithic
http://www.wikidata.org/entity/Q479505,Upper Paleolithic,-48000-01-01T00:00:00Z,-7700-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q40203,Paleolithic
http://www.wikidata.org/entity/Q479505,Upper Paleolithic,-38000-01-01T00:00:00Z,-7700-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q40203,Paleolithic
http://www.wikidata.org/entity/Q132855786,Q132855786,-9050-01-01T00:00:00Z,-6500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q1054046,Neolithic in the Near East,-10000-01-01T00:00:00Z,-6000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,http://www.wikidata.org/entity/Q36422,Neolithic,http://www.wikidata.org/entity/Q4164212,Prehistoric Asia
http://www.wikidata.org/entity/Q130253,Chalcolithic,-7500-01-01T00:00:00Z,-5500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q11761,Bronze Age
http://www.wikidata.org/entity/Q130253,Chalcolithic,-7500-01-01T00:00:00Z,-5500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q36422,Neolithic
http://www.wikidata.org/entity/Q930351,Suomusjärvi culture,-8700-01-01T00:00:00Z,-5100-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q904998,Halaf culture,-6100-01-01T00:00:00Z,-5100-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q36422,Neolithic
http://www.wikidata.org/entity/Q97317573,Early Neolithic,-5500-01-01T00:00:00Z,-5000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q36422,Neolithic
