qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc
Q106595016,American Indian law,Q4932206|Q7748,jurisprudence|law,,,,,969825,,sh85065315,,,,,,
Q4806809,Asian studies,Q928786|Q476294,area studies|oriental studies,,,,,,,,,,01563056n,AsianStudies,,
Q47011897,Black Loch Crannog,,,,,,,,,,,,,,,
Q4090659,Bulgarian studies,Q156864|Q464974,Slavic studies|Balkan studies,,,,,,4146908-2,,,,,,,
Q5060376,Central Asian studies,Q4806809,Asian studies,,,,,,,,,,,CentralAsianStudies,,
Q120969801,Claims,,,,,,,,,,,,,,,
Q5145857,Collaborative software development model,Q2904257,software development process,,,,,,,,,,,,,
Q120969791,Computational folkloristics,,,,,,,,,,,,,,,
Q131289096,Computer technology,Q85753733,computing education,,,,,,,,,,,,,
Q120910082,Cultural heritage access,,,,,,,,,,,,,,,
Q59068,Czech studies,Q16872093,West Slavic Studies,Q16872093,West Slavic Studies,,,,4186370-7,,,,,,,
Q120910095,DEO,,,,,,,,,,,,,,,
Q120969808,DL reasoners,,,,,,,,,,,,,,,
Q840067,Defeasible reasoning,,,,,,,,,,,,,,,
Q120910091,Description logic programs,,,,,,,,,,,,,,,
Q120910080,Discourse relations,,,,,,,,,,,,,,,
Q120969788,Document similarity,,,,,,,,,,,,,,,
Q8008,Earth science,Q107287417|Q7991,earth and planetary science|natural science,,,,,900729,4020288-4|4131991-6,sh85040468,550,300054542,00029440n,EarthScience,,
Q162817,East Asian studies,Q4806809,Asian studies,,,,,,4312428-8,,,,02575816n,,,
Q120969781,Factoid question answering,,,,,,,,,,,,,,,
Q120969816,Financial Transparency System,,,,,,,,,,,,,,,
Q1453477,Freebase,,,,,Q15241312,Freebase Data Dumps,,,,,,,,,
Q105233699,French horn performance,Q6942562,musical performance,,,,,,,,,,,,,
Q120969786,Full-Network embedding,,,,,,,,,,,,,,,
Q120910086,Geospatial semantics,,,,,,,,,,,,,,,
Q5593683,Grammatical Framework,,,,,,,,,,,,,,,
Q12310624,Greenlandic and Arctic Studies,,,Q4532729,Eskimology,,,,,,,,,,,
Q29980364,Hebrew Bible studies,Q794605,biblical studies,,,,,,,,,,,,,
Q1661989,Industry 4.0,,,,,Q251212|Q1120057|Q1067099|Q11660|Q188961|Q858810|Q25112020|Q116757387|Q1571520|Q1282900|Q16856938|Q114693590|Q114688556|Q7544072,Internet of things|cyber-physical system|internetworking|artificial intelligence|decentralization|big data|smart manufacturing|Maintenance 4.0|vertical integration|horizontal integration|Smart Factory|Intelligent Process|intelligent machine|smart product,,,,,,,,,
Q135050458,Intersectionality Studies,,,,,,,,,,,,,,,
Q1367176,Iranian studies,Q12211529,Middle Eastern studies,Q12211529,Middle Eastern studies,,,,4162398-8,sh85067916,891.5|491.5,,,IranianStudies,,
Q843909,Islamic studies,Q476294,oriental studies,,,Q757248,papyrology,979852,4162468-3,sh85068408,297|297.071,,,IslamicStudies,,
Q3155376,Islamology,,,,,,,,,sh85068408,,,,,,
Q3745495,Italian philology,Q40634,philology,,,,,,,sh85068840,,,,,,
Q120969700,Knowledge base generation,,,,,,,,,,,,,,,
Q120969776,Knowledge patterns,,,,,,,,,,,,,,,
Q120910097,Legal Semantic Web,,,,,,,,,,,,,,,
Q120969826,Legal knowledge modeling,,,,,,,,,,,,,,,
Q120969814,Linguistic data,,,,,,,,,,,,,,,
Q98925312,Link prediction,,,,,,,,,,,,,,,
Q120910088,Link prediction and discovery,,,,,,,,,,,,,,,
Q120910101,Linked Data assessment,,,,,,,,,,,,,,,
Q722609,MARC standards,,,,,Q2755217|Q3919686|Q28770433,UNIMARC|MARC 21|MARCXML,,4168864-8,sh85080966,025.316,,,,,
Q120969831,MCQ generation,,,,,,,,,,,,,,,
Q120969813,Massive data,,,,,,,,,,,,,,,
Q65281046,Microblogging,,,,,,,,,,,,,,,
Q66490562,Modern Greek Studies,,,,,,,,,,,,,,,
Q120969787,Neural-symbolic integration,,,,,,,,,,,,,,,
Q120969785,OWL2 RL,,,,,,,,,,,,,,,
Q120910089,Ontobroker,,,,,,,,,,,,,,,
Q120969774,Ontology mining,,,,,,,,,,,,,,,
Q120910083,Ontology reasoning systems,,,,,,,,,,,,,,,
Q120910098,Ontology search,,,,,,,,,,,,,,,
Q120969777,Ontology use,,,,,,,,,,,,,,,
Q120969827,Open Knowledge Extraction,,,,,,,,,,,,,,,
Q120910100,PWO,,,,,,,,,,,,,,,
Q127656899,Pekingology,Q269915|Q36442,sinology|political science,,,,,,,,,,,,,
Q120969830,Property paths,,,,,,,,,,,,,,,
Q109450440,Q109450440,Q843601,health sciences,,,,,,,,,,,,,
Q1147173,Q1147173,Q2043282,business administration,,,,,,4120425-6,,381,,,,,
Q1521170,Q1521170,,,,,,,,,,,,,,,
Q18424298,Q18424298,Q11790208,Forest sciences,,,,,,,,,,,,,
Q9033886,Q9033886,,,,,,,,,,,,,,,
Q120969829,Question Answering over Linked Data,,,,,,,,,,,,,,,
Q109734057,R2RML,,,,,,,,,,,,,,,
Q120969784,RDF Data Cube,,,,,,,,,,,,,,,
Q120969834,RDF dataset profiling,,,,,,,,,,,,,,,
Q120969807,SHACL shape learning,,,,,,,,,,,,,,,
Q120910094,Scalable reasoning,,,,,,,,,,,,,,,
Q62211950,Semantic Sensor Network Ontology,,,,,,,,,,,,,,,
Q54837,Semantic Web,Q466|Q1045785|Q7449064,World Wide Web|semantic network|Semantic integration,,,Q515701|Q1370467,linked data|EuroVoc,1112076,4688372-1,sh2002000569,025.0427,300391330,02276858n,SemanticWeb,,TK5105.88815|ZA4240
Q120910069,Semantic Web of Things,,,,,,,,,,,,,,,
Q120910084,Semantic browsing,,,,,,,,,,,,,,,
Q120969832,Semantic entity annotation system,,,,,,,,,,,,,,,
Q7449072,Semantic matching,,,,,,,,,,,,,,,
Q120910090,Semantic publishing models,,,,,,,,,,,,,,,
Q9393074,Sindhology,Q7125797,Pakistan studies,,,,,,,,,,,,,
Q4423818,Slovak studies,Q16872093,West Slavic Studies,Q16872093,West Slavic Studies,,,,,,,,,,,
Q120910102,Smart environments,,,,,,,,,,,,,,,
Q26792203,Solap,,,,,,,,,,,,,,,
