id,label,federation,domain,uri,spatial_anchor,temporal_start,temporal_end,survey_depth,is_seed,authority_id,source,spatial_coverage_description
p06ptzsnj58,Archaic,periodo,roman_republic,https://n2t.net/ark:/99152/p06ptzsnj58,http://www.wikidata.org/entity/Q1016,-649,-499,0,False,p06ptzs,p06ptzs,Lepcis Magna
p0m64tdwdgq,Classical,periodo,roman_republic,https://n2t.net/ark:/99152/p0m64tdwdgq,http://www.wikidata.org/entity/Q1016,-500,-350,0,False,p0m64td,p0m64td,Cyrenaica
p0m64tdtjwv,"Neolithic, Late",periodo,roman_republic,https://n2t.net/ark:/99152/p0m64tdtjwv,http://www.wikidata.org/entity/Q1025,-2200,-300,0,False,p0m64td,p0m64td,Mauritania
p0m64tdt8p2,"Protohistoric, Early",periodo,roman_republic,https://n2t.net/ark:/99152/p0m64tdt8p2,http://www.wikidata.org/entity/Q1025,-300,1,0,False,p0m64td,p0m64td,Mauritania
p06v8w4ft2t,Mauretaine,periodo,roman_republic,https://n2t.net/ark:/99152/p06v8w4ft2t,http://www.wikidata.org/entity/Q1028,-350,-1,0,False,p06v8w4,p06v8w4,Morocco
p06v8w4x4sj,Punique,periodo,roman_republic,https://n2t.net/ark:/99152/p06v8w4x4sj,http://www.wikidata.org/entity/Q1028,-1000,-350,0,False,p06v8w4,p06v8w4,Morocco
p09hq4n62b3,Tarquin le Superbe,periodo,roman_republic,https://n2t.net/ark:/99152/p09hq4n62b3,http://www.wikidata.org/entity/Q1048669,-533,-508,0,False,p09hq4n,p09hq4n,Latium
p03tcsst5z3,"South-Arabian, Pre-Aksumite and Proto-Aksumite",periodo,roman_republic,https://n2t.net/ark:/99152/p03tcsst5z3,http://www.wikidata.org/entity/Q115,-999,0,0,False,p03tcss,p03tcss,Ethiopia and Eritrea
p05hrsff94b,Solomonic race,periodo,roman_republic,https://n2t.net/ark:/99152/p05hrsff94b,http://www.wikidata.org/entity/Q115,-664,960,0,False,p05hrsf,p05hrsf,Abyssinia
p07ffbfrzfw,Achaemenid,periodo,roman_republic,https://n2t.net/ark:/99152/p07ffbfrzfw,http://www.wikidata.org/entity/Q11767,-546,-330,0,False,p07ffbf,p07ffbf,
p086kj9gn8q,Early Woodland,periodo,roman_republic,https://n2t.net/ark:/99152/p086kj9gn8q,http://www.wikidata.org/entity/Q1204,-1000,-200,0,False,p086kj9,p086kj9,Illinois
p086kj9kzth,Middle Woodland,periodo,roman_republic,https://n2t.net/ark:/99152/p086kj9kzth,http://www.wikidata.org/entity/Q1204,-200,300,0,False,p086kj9,p086kj9,Illinois
p086kj9b43k,Woodland,periodo,roman_republic,https://n2t.net/ark:/99152/p086kj9b43k,http://www.wikidata.org/entity/Q1204,-1000,900,0,False,p086kj9,p086kj9,Illinois
p06v8w43mms,Hellenistic,periodo,roman_republic,https://n2t.net/ark:/99152/p06v8w43mms,http://www.wikidata.org/entity/Q1246,-336,-168,0,False,p06v8w4,p06v8w4,Kosovo
p06v8w4gs35,Republican,periodo,roman_republic,https://n2t.net/ark:/99152/p06v8w4gs35,http://www.wikidata.org/entity/Q1246,-168,-1,0,False,p06v8w4,p06v8w4,Kosovo
p05krdx596r,Archaic Period,periodo,roman_republic,https://n2t.net/ark:/99152/p05krdx596r,http://www.wikidata.org/entity/Q1247159,-699,-479,0,False,p05krdx,p05krdx,ancient Pylos
p05krdxx73v,Roman Period,periodo,roman_republic,https://n2t.net/ark:/99152/p05krdxx73v,http://www.wikidata.org/entity/Q1247159,-30,400,0,False,p05krdx,p05krdx,ancient Pylos
p05krdxktwz,Classical Period,periodo,roman_republic,https://n2t.net/ark:/99152/p05krdxktwz,http://www.wikidata.org/entity/Q1247159,-479,-322,0,False,p05krdx,p05krdx,ancient Pylos
p05krdx4jg8,Hellenistic Period,periodo,roman_republic,https://n2t.net/ark:/99152/p05krdx4jg8,http://www.wikidata.org/entity/Q1247159,-322,-30,0,False,p05krdx,p05krdx,ancient Pylos
p083p5rj8d7,Roman Republic,periodo,roman_republic,https://n2t.net/ark:/99152/p083p5rj8d7,http://www.wikidata.org/entity/Q1282,-508,-26,0,False,p083p5r,p083p5r,Rome
p083p5rdz7f,Etruscan rule,periodo,roman_republic,https://n2t.net/ark:/99152/p083p5rdz7f,http://www.wikidata.org/entity/Q1282,-599,-508,0,False,p083p5r,p083p5r,Rome
p086kj96z3n,Early Woodland (1200 B.C. - 299 A.D.),periodo,roman_republic,https://n2t.net/ark:/99152/p086kj96z3n,http://www.wikidata.org/entity/Q1370,-1200,299,0,False,p086kj9,p086kj9,Virginia
p086kj9sphp,Woodland,periodo,roman_republic,https://n2t.net/ark:/99152/p086kj9sphp,http://www.wikidata.org/entity/Q1415,-1000,1200,0,False,p086kj9,p086kj9,Indiana
p0qhb665wk8,Empire romaine,periodo,roman_republic,https://n2t.net/ark:/99152/p0qhb665wk8,http://www.wikidata.org/entity/Q142,-27,499,0,False,p0qhb66,p0qhb66,France
p0qhb66r5gp,Haut Empire,periodo,roman_republic,https://n2t.net/ark:/99152/p0qhb66r5gp,http://www.wikidata.org/entity/Q142,-50,299,0,False,p0qhb66,p0qhb66,France
p0ctc359kcx,La Tene,periodo,roman_republic,https://n2t.net/ark:/99152/p0ctc359kcx,http://www.wikidata.org/entity/Q142,-449,-54,0,False,p0ctc35,p0ctc35,
p0ctc358p9w,Iron Age,periodo,roman_republic,https://n2t.net/ark:/99152/p0ctc358p9w,http://www.wikidata.org/entity/Q142,-669,-54,0,False,p0ctc35,p0ctc35,
p02chr4tg3r,Protohistoire,periodo,roman_republic,https://n2t.net/ark:/99152/p02chr4tg3r,http://www.wikidata.org/entity/Q142,-2200,-51,0,False,p02chr4,p02chr4,France
p02chr4n5w5,Hallstatt,periodo,roman_republic,https://n2t.net/ark:/99152/p02chr4n5w5,http://www.wikidata.org/entity/Q142,-1200,-475,0,False,p02chr4,p02chr4,France
p02chr4hm5d,Subatlantique,periodo,roman_republic,https://n2t.net/ark:/99152/p02chr4hm5d,http://www.wikidata.org/entity/Q142,-850,2000,0,False,p02chr4,p02chr4,France
